file,original pragma version,compiled version,notes
IERC20.sol,^0.8.0,0.8.0,
MultiCaller_1.sol,^0.8.0,0.8.0,
ReentrancyGuard.sol,^0.8.0,0.8.0,
IERC20Metadata_1.sol,^0.8.0,0.8.0,
WETH9.sol,^0.8.0,0.8.0,
ClaimAndStake.sol,^0.8.0,0.8.0,
HubPool.sol,^0.8.0,0.8.0,
MultiCaller_2.sol,^0.8.0,0.8.0,
Address_10.sol,^0.8.1,0.8.1,
Multicall_1.sol,^0.8.0,0.8.0,
Testable_1.sol,^0.8.0,0.8.0,
Address_9.sol,^0.8.1,0.8.1,
AcceleratingDistributor.sol,^0.8.0,0.8.0,
ReentrancyGuard_2.sol,^0.8.0,0.8.0,
ERC20.sol,^0.8.0,0.8.0,
Address_8.sol,^0.8.1,0.8.1,
AcrossConfigStore.sol,^0.8.0,0.8.0,
ICrossDomainMessenger_1.sol,>0.5.0 <0.9.0,0.5.0,
ICrossDomainMessenger.sol,>0.5.0 <0.9.0,0.5.0,
PolygonTokenBridger.sol,^0.8.0,0.8.0,
IERC20_8.sol,^0.8.0,0.8.0,
MultiCaller.sol,^0.8.0,0.8.0,
IL1StandardBridge.sol,>0.5.0 <0.9.0,0.5.0,
AddressWhitelistInterface.sol,^0.8.0,0.8.0,
IERC20_9.sol,^0.8.0,0.8.0,
SpokePool.sol,^0.8.0,0.8.0,
Optimism_Adapter.sol,^0.8.0,0.8.0,
draft-IERC20Permit_2.sol,^0.8.0,0.8.0,
MerkleDistributorInterface.sol,^0.8.0,0.8.0,
AdapterInterface_4.sol,^0.8.0,0.8.0,
SafeERC20_1.sol,^0.8.0,0.8.0,
AdapterInterface_5.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
ExpandedIERC20.sol,^0.8.0,0.8.0,
SpokePoolInterface_1.sol,^0.8.0,0.8.0,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
AcrossMerkleDistributor.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.8.0,0.8.0,
Address_8_1.sol,^0.8.1,0.8.1,
Context_3.sol,^0.8.0,0.8.0,
LpTokenFactoryInterface.sol,^0.8.0,0.8.0,
FixedPoint.sol,^0.8.0,0.8.0,
SafeERC20_3.sol,^0.8.0,0.8.0,
SafeERC20_2.sol,^0.8.0,0.8.0,
AdapterInterface_6.sol,^0.8.0,0.8.0,
Context_2.sol,^0.8.0,0.8.0,
CrossDomainEnabled.sol,^0.8.0,0.8.0,
SafeMath.sol,^0.8.0,0.8.0,
AcceleratingDistributor_2.sol,^0.8.0,0.8.0,
CrossDomainEnabled_2.sol,^0.8.0,0.8.0,
FinderInterface.sol,^0.8.0,0.8.0,
LpTokenFactory.sol,^0.8.0,0.8.0,
Address.sol,^0.8.1,0.8.1,
MerkleDistributor_1.sol,^0.8.0,0.8.0,
AdapterInterface_2.sol,^0.8.0,0.8.0,
Context_6.sol,^0.8.0,0.8.0,
SafeERC20_6.sol,^0.8.0,0.8.0,
SafeERC20_7.sol,^0.8.0,0.8.0,
ECDSA.sol,^0.8.0,0.8.0,
Context_7.sol,^0.8.0,0.8.0,
AdapterInterface_3.sol,^0.8.0,0.8.0,
AdapterInterface_1.sol,^0.8.0,0.8.0,
Context_5.sol,^0.8.0,0.8.0,
SafeERC20_5.sol,^0.8.0,0.8.0,
Ethereum_SpokePool.sol,^0.8.0,0.8.0,
SafeERC20_4.sol,^0.8.0,0.8.0,
IL1ERC20Bridge_1.sol,>0.5.0 <0.9.0,0.5.0,
Context_4.sol,^0.8.0,0.8.0,
Multicall.sol,^0.8.0,0.8.0,
Arbitrum_Adapter.sol,^0.8.0,0.8.0,
ExpandedERC20.sol,^0.8.0,0.8.0,
SafeERC20_9.sol,^0.8.0,0.8.0,
SafeERC20_8.sol,^0.8.0,0.8.0,
SignedSafeMath.sol,^0.8.0,0.8.0,
AcrossMerkleDistributor_2.sol,^0.8.0,0.8.0,
SpokePoolInterface.sol,^0.8.0,0.8.0,
IERC20Metadata.sol,^0.8.0,0.8.0,
LpTokenFactoryInterface_2.sol,^0.8.0,0.8.0,
Constants.sol,^0.8.0,0.8.0,
IERC20_10.sol,^0.8.0,0.8.0,
