file,original pragma version,compiled version,notes
draft-IERC1822_1.sol,^0.8.0,0.8.0,
Address_16.sol,^0.8.1,0.8.1,
Initializable.sol,^0.8.0,0.8.0,
Proxy_20.sol,^0.8.0,0.8.0,
IOutbox.sol,^0.6.11,0.6.11,
ERC1967Proxy_14.sol,^0.8.0,0.8.0,
IOwnable.sol,>=0.4.21 <0.9.0,0.4.21,
RollupProxy.sol,^0.8.0,0.8.0,
draft-IERC1822_10.sol,^0.8.0,0.8.0,
OneStepProverMemory.sol,^0.8.0,0.8.0,
ERC1967Upgrade_8.sol,^0.8.2,0.8.2,
ERC1967Upgrade_9.sol,^0.8.2,0.8.2,
ISequencerInbox.sol,>=0.6.9 <0.9.0,0.6.9,
draft-IERC1822_11.sol,^0.8.0,0.8.0,
Outbox.sol,^0.8.4,0.8.4,
ERC1967Proxy_15.sol,^0.8.0,0.8.0,
Proxy_21.sol,>=0.6.0 <0.8.0,0.6.0,
IChallengeResultReceiver.sol,^0.8.0,0.8.0,
IRollupCore.sol,^0.8.0,0.8.0,
IChallengeManager.sol,^0.8.0,0.8.0,
Address_17.sol,^0.8.1,0.8.1,
StorageSlot_14.sol,^0.8.0,0.8.0,
AdminFallbackProxy.sol,^0.8.0,0.8.0,
Address_15.sol,^0.8.1,0.8.1,
draft-IERC1822_2.sol,^0.8.0,0.8.0,
UpgradeableProxy_4.sol,>=0.6.0 <0.8.0,0.6.0,
MessageTester.sol,^0.8.0,0.8.0,
draft-IERC1822_13.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_9.sol,^0.8.0,0.8.0,
WETH9.sol,^0.4.18,0.4.18,
ValueArrayTester.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_8.sol,^0.8.0,0.8.0,
draft-IERC1822_12.sol,^0.8.0,0.8.0,
MessageTypes.sol,^0.8.4,0.8.4,
ChallengeLib.sol,^0.8.0,0.8.0,
UpgradeableProxy_5.sol,>=0.6.0 <0.8.0,0.6.0,
draft-IERC1822_3.sol,^0.8.0,0.8.0,
Address_14.sol,^0.8.1,0.8.1,
Instructions.sol,^0.8.0,0.8.0,
StorageSlot_15.sol,^0.8.0,0.8.0,
OneStepProverHostIo.sol,^0.8.0,0.8.0,
StorageSlot_11.sol,^0.8.0,0.8.0,
Address_10.sol,^0.8.1,0.8.1,
draft-IERC1822_7.sol,^0.8.0,0.8.0,
Proxy_8.sol,^0.8.0,0.8.0,
draft-IERC1822.sol,^0.8.0,0.8.0,
Address_9.sol,>=0.6.2 <0.8.0,0.6.2,
IDelayedMessageProvider.sol,>=0.6.9 <0.9.0,0.6.9,
ERC1967Proxy_12.sol,^0.8.0,0.8.0,
UpgradeableProxy_1.sol,>=0.6.0 <0.8.0,0.6.0,
RollupEventInbox.sol,^0.8.0,0.8.0,
BridgeStub.sol,^0.8.0,0.8.0,
L1DaiGateway.sol,^0.6.11,0.6.11,
IBridge_1.sol,^0.6.11,0.6.11,
ValidatorWallet.sol,^0.8.0,0.8.0,
IOutbox_2.sol,0.8.9,0.8.9,
IOutbox_3.sol,>=0.6.9 <0.9.0,0.6.9,
ERC1967Proxy_13.sol,^0.8.0,0.8.0,
IRollupLogic.sol,^0.8.0,0.8.0,
Address_8.sol,^0.8.1,0.8.1,
ValueStack.sol,^0.8.0,0.8.0,
Proxy_9.sol,>=0.6.0 <0.8.0,0.6.0,
draft-IERC1822_6.sol,^0.8.0,0.8.0,
Address_11.sol,^0.8.1,0.8.1,
ProxyAdmin.sol,^0.8.0,0.8.0,
StorageSlot_10.sol,^0.8.0,0.8.0,
L1ITokenGateway.sol,^0.6.11,0.6.11,
StorageSlot_12.sol,^0.8.0,0.8.0,
draft-IERC1822_4.sol,^0.8.0,0.8.0,
Address_13.sol,^0.8.1,0.8.1,
Machine.sol,^0.8.0,0.8.0,
Proxy_19.sol,>=0.6.0 <0.8.0,0.6.0,
UpgradeableProxy_2.sol,>=0.6.0 <0.8.0,0.6.0,
ERC1967Proxy_11.sol,^0.8.0,0.8.0,
SequencerInbox.sol,^0.8.0,0.8.0,
draft-IERC1822_15.sol,^0.8.0,0.8.0,
IBridge_2.sol,0.8.9,0.8.9,
Pausable.sol,^0.8.0,0.8.0,
draft-IERC1822_14.sol,^0.8.0,0.8.0,
ERC1967Proxy_10.sol,^0.8.0,0.8.0,
UpgradeableProxy_3.sol,>=0.6.0 <0.8.0,0.6.0,
Proxy_18.sol,>=0.6.0 <0.8.0,0.6.0,
Address_12.sol,>=0.6.2 <0.8.0,0.6.2,
draft-IERC1822_5.sol,^0.8.0,0.8.0,
IOneStepProver.sol,^0.8.0,0.8.0,
StorageSlot_13.sol,^0.8.0,0.8.0,
StorageSlot_4.sol,^0.8.0,0.8.0,
InboxStub.sol,^0.8.0,0.8.0,
IInbox.sol,^0.6.11,0.6.11,
Deserialize.sol,^0.8.0,0.8.0,
UpgradeableProxy.sol,>=0.6.0 <0.8.0,0.6.0,
TransparentUpgradeableProxy_11.sol,>=0.6.0 <0.8.0,0.6.0,
ERC1967Upgrade_13.sol,^0.8.2,0.8.2,
TransparentUpgradeableProxy.sol,^0.8.0,0.8.0,
IInbox_2.sol,0.8.9,0.8.9,
IBeacon.sol,^0.8.0,0.8.0,
IBeacon_5.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
IBeacon_4.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
ValidatorUtils.sol,^0.8.0,0.8.0,
IInbox_3.sol,>=0.6.9 <0.9.0,0.6.9,
ERC1967Upgrade_12.sol,^0.8.2,0.8.2,
TransparentUpgradeableProxy_10.sol,^0.8.0,0.8.0,
SimpleProxy.sol,^0.8.0,0.8.0,
StorageSlot_5.sol,^0.8.0,0.8.0,
StorageSlot_7.sol,^0.8.0,0.8.0,
Address_8_1.sol,^0.8.1,0.8.1,
TransparentUpgradeableProxy_12.sol,^0.8.0,0.8.0,
ERC1967Upgrade_10.sol,^0.8.2,0.8.2,
IBeacon_6.sol,^0.8.0,0.8.0,
IBeacon_7.sol,^0.8.0,0.8.0,
ERC1967Upgrade_11.sol,^0.8.2,0.8.2,
TransparentUpgradeableProxy_13.sol,^0.8.0,0.8.0,
Value.sol,^0.8.0,0.8.0,
StorageSlot_6.sol,^0.8.0,0.8.0,
StorageSlot_2.sol,^0.8.0,0.8.0,
IMessageProvider_1.sol,0.8.9,0.8.9,
Bridge.sol,^0.8.4,0.8.4,
Address.sol,^0.8.1,0.8.1,
ERC1967Upgrade_15.sol,^0.8.2,0.8.2,
TransparentUpgradeableProxy_17.sol,>=0.6.0 <0.8.0,0.6.0,
ERC1967Proxy_8.sol,^0.8.0,0.8.0,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
PausableUpgradeable.sol,^0.8.0,0.8.0,
IBeacon_3.sol,^0.8.0,0.8.0,
IBeacon_2.sol,^0.8.0,0.8.0,
ERC1967Proxy_9.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_16.sol,^0.8.0,0.8.0,
ERC1967Upgrade_14.sol,^0.8.2,0.8.2,
Inbox.sol,^0.8.4,0.8.4,
StorageSlot_3.sol,^0.8.0,0.8.0,
IBridge.sol,>=0.6.9 <0.9.0,0.6.9,
StorageSlot_1.sol,^0.8.0,0.8.0,
ContextUpgradeable.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_14.sol,^0.8.0,0.8.0,
ModuleMemory.sol,^0.8.0,0.8.0,
RollupAdminLogic.sol,^0.8.0,0.8.0,
OneStepProofEntry.sol,^0.8.0,0.8.0,
StorageSlot.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_15.sol,^0.8.0,0.8.0,
InterfaceCompatibilityTester.sol,>=0.6.9 <0.9.0,0.6.9,
Proxy.sol,^0.8.0,0.8.0,
L1CrossDomainEnabled.sol,^0.6.11,0.6.11,
TransparentUpgradeableProxy_18.sol,>=0.6.0 <0.8.0,0.6.0,
ERC1967Proxy_7.sol,^0.8.0,0.8.0,
DoubleLogicUUPSUpgradeable.sol,^0.8.0,0.8.0,
RollupLib.sol,^0.8.0,0.8.0,
ERC1967Proxy_6.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_19.sol,^0.8.0,0.8.0,
IRollupEventInbox.sol,^0.8.0,0.8.0,
IAccessControl.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_8_1.sol,>=0.6.0 <0.8.0,0.6.0,
ERC1967Proxy_4.sol,^0.8.0,0.8.0,
AddressAliasHelper.sol,^0.8.0,0.8.0,
IL1LPTGateway.sol,0.8.9,0.8.9,
BridgeTester.sol,^0.8.4,0.8.4,
UUPSNotUpgradeable.sol,^0.8.0,0.8.0,
ERC1967Proxy_5.sol,^0.8.0,0.8.0,
MockResultReceiver.sol,^0.8.0,0.8.0,
Constants.sol,^0.8.4,0.8.4,
ERC1967Proxy.sol,^0.8.0,0.8.0,
IL2LPTGateway.sol,0.8.9,0.8.9,
ChallengeManager.sol,^0.8.0,0.8.0,
