file,original pragma version,compiled version,notes
IOutbox.sol,^0.8.0,0.8.0,
errors.sol,^0.8.4,0.8.4,
ICrossDomainMessenger.sol,>0.5.0 <0.9.0,0.5.0,
IL1StandardBridge.sol,>0.5.0 <0.9.0,0.5.0,
IInbox.sol,^0.8.0,0.8.0,
LibOptimismL1.sol,^0.8.4,0.8.4,
IL2StandardBridge.sol,>0.5.0 <0.9.0,0.5.0,
LibOptimismL2.sol,^0.8.4,0.8.4,
SenderArbitrumL1.sol,^0.8.0,0.8.0,
Greeter.sol,^0.8.0,0.8.0,
GreeterOptimismL2.sol,^0.8.0,0.8.0,
CrossChainEnabledArbitrumL2.sol,^0.8.4,0.8.4,
CrossChainEnabled.sol,^0.8.4,0.8.4,
IBridge.sol,^0.8.0,0.8.0,
CrossChainEnabledArbitrumL1.sol,^0.8.4,0.8.4,
LibArbitrumL2.sol,^0.8.4,0.8.4,
LibArbitrumL1.sol,^0.8.4,0.8.4,
IArbSys.sol,>=0.4.21 <0.9.0,0.4.21,
CrossChainEnabledOptimismL1.sol,^0.8.4,0.8.4,
IMessageProvider.sol,^0.8.0,0.8.0,
SenderOptimismL1.sol,^0.8.0,0.8.0,
CrossChainEnabledOptimismL2.sol,^0.8.4,0.8.4,
GreeterArbitrumL2.sol,^0.8.0,0.8.0,
