file,original pragma version,compiled version,notes
TokenRegistry_2.sol,>=0.6.11,0.6.11,
Address_16.sol,>=0.6.2 <0.8.0,0.6.2,
Initializable.sol,>=0.4.24 <0.8.0,0.4.24,
UpgradeBeaconProxy_7.sol,>=0.6.11,0.6.11,
XAppConnectionManager_1.sol,>=0.6.11,0.6.11,
UpgradeBeaconProxy_6.sol,>=0.6.11,0.6.11,
TokenRegistry.sol,>=0.6.11,0.6.11,
IERC20.sol,>=0.6.0 <0.8.0,0.6.0,
SecuredTokenTransfer.sol,>=0.7.0 <0.9.0,0.7.0,
Replica_1.sol,>=0.6.11,0.6.11,
Address_17.sol,>=0.6.2 <0.8.0,0.6.2,
Address_15.sol,>=0.6.2 <0.8.0,0.6.2,
Replica_3.sol,>=0.6.11,0.6.11,
IMessageRecipient.sol,>=0.6.11,0.6.11,
XAppConnectionManager_2.sol,>=0.6.11,0.6.11,
UpgradeBeaconProxy_4.sol,>=0.6.11,0.6.11,
ECDSA_8_1.sol,>=0.6.0 <0.8.0,0.6.0,
UpgradeBeaconProxy_5.sol,>=0.6.11,0.6.11,
Ownable_8.sol,>=0.6.0 <0.8.0,0.6.0,
XAppConnectionManager_3.sol,>=0.6.11,0.6.11,
Replica_2.sol,>=0.6.11,0.6.11,
Address_14.sol,>=0.6.2 <0.8.0,0.6.2,
Initializable_8.sol,>=0.4.24 <0.8.0,0.4.24,
Address_10.sol,>=0.6.2 <0.8.0,0.6.2,
Replica_6.sol,>=0.6.11,0.6.11,
Address_9.sol,>=0.6.2 <0.8.0,0.6.2,
ECDSA_9.sol,>=0.6.0 <0.8.0,0.6.0,
UpgradeBeaconProxy_1.sol,>=0.6.11,0.6.11,
ContextUpgradeable_8.sol,>=0.6.0 <0.8.0,0.6.0,
ECDSA_8.sol,>=0.6.0 <0.8.0,0.6.0,
Address_8.sol,>=0.6.2 <0.8.0,0.6.2,
Replica_7.sol,>=0.6.11,0.6.11,
TypedMemView.sol,>=0.5.10,0.5.10,
Address_11.sol,>=0.6.2 <0.8.0,0.6.2,
Initializable_9.sol,>=0.4.24 <0.8.0,0.4.24,
Address_13.sol,>=0.6.2 <0.8.0,0.6.2,
Replica_5.sol,>=0.6.11,0.6.11,
UpgradeBeaconProxy_2.sol,>=0.6.11,0.6.11,
XAppConnectionManager_4.sol,>=0.6.11,0.6.11,
XAppConnectionManager_5.sol,>=0.6.11,0.6.11,
UpgradeBeaconProxy_3.sol,>=0.6.11,0.6.11,
Replica_4.sol,>=0.6.11,0.6.11,
Address_12.sol,>=0.6.2 <0.8.0,0.6.2,
Version0.sol,>=0.6.11,0.6.11,
UpgradeBeaconController.sol,>=0.6.11,0.6.11,
Message_8.sol,>=0.6.11,0.6.11,
TypeCasts_8.sol,>=0.6.11,0.6.11,
Home.sol,>=0.6.11,0.6.11,
OwnableUpgradeable_3.sol,>=0.6.0 <0.8.0,0.6.0,
Replica.sol,>=0.6.11,0.6.11,
UpgradeBeacon_3.sol,>=0.6.11,0.6.11,
TypedMemView_2.sol,>=0.5.10,0.5.10,
SafeMath_1.sol,>=0.6.0 <0.8.0,0.6.0,
Merkle_8.sol,>=0.6.11,0.6.11,
Encoding.sol,>=0.6.11,0.6.11,
Queue_6.sol,>=0.6.11,0.6.11,
AddressUpgradeable_5.sol,>=0.6.2 <0.8.0,0.6.2,
AddressUpgradeable_4.sol,>=0.6.2 <0.8.0,0.6.2,
SafeERC20_1.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable.sol,>=0.6.0 <0.8.0,0.6.0,
Queue_7.sol,>=0.6.11,0.6.11,
Context_1.sol,>=0.6.0 <0.8.0,0.6.0,
Merkle_9.sol,>=0.6.11,0.6.11,
TypedMemView_3.sol,>=0.5.10,0.5.10,
UpgradeBeacon_2.sol,>=0.6.11,0.6.11,
TypeCasts_9.sol,>=0.6.11,0.6.11,
OwnableUpgradeable_2.sol,>=0.6.0 <0.8.0,0.6.0,
Message_9.sol,>=0.6.11,0.6.11,
OwnerManager.sol,>=0.7.0 <0.9.0,0.7.0,
SafeERC20.sol,>=0.6.0 <0.8.0,0.6.0,
Address_8_1.sol,>=0.6.2 <0.8.0,0.6.2,
Version0_9.sol,>=0.6.11,0.6.11,
SafeMath_2.sol,>=0.5.10,0.5.10,
Context_3.sol,>=0.6.0 <0.8.0,0.6.0,
Queue_5.sol,>=0.6.11,0.6.11,
AddressUpgradeable_6.sol,>=0.6.2 <0.8.0,0.6.2,
AddressUpgradeable_7.sol,>=0.6.2 <0.8.0,0.6.2,
SafeERC20_2.sol,>=0.6.0 <0.8.0,0.6.0,
Queue_4.sol,>=0.6.11,0.6.11,
Context_2.sol,>=0.6.0 <0.8.0,0.6.0,
SafeMath_3.sol,>=0.5.10,0.5.10,
Version0_8.sol,>=0.6.11,0.6.11,
SafeMath.sol,>=0.5.10,0.5.10,
Queue.sol,>=0.6.11,0.6.11,
UpgradeBeaconProxy.sol,>=0.6.11,0.6.11,
UpgradeBeacon_1.sol,>=0.6.11,0.6.11,
OwnableUpgradeable_1.sol,>=0.6.0 <0.8.0,0.6.0,
OwnableUpgradeable_5.sol,>=0.6.0 <0.8.0,0.6.0,
OZERC20.sol,>=0.6.0 <0.8.0,0.6.0,
TokenRegistry_2_1.sol,>=0.6.11,0.6.11,
TypedMemView_4.sol,>=0.5.10,0.5.10,
Address.sol,>=0.6.2 <0.8.0,0.6.2,
OwnableUpgradeable.sol,>=0.6.0 <0.8.0,0.6.0,
SafeMath_7.sol,>=0.6.0 <0.8.0,0.6.0,
IBridgeToken_1.sol,>=0.6.11,0.6.11,
Context_6.sol,>=0.6.0 <0.8.0,0.6.0,
ISignatureValidator.sol,>=0.7.0 <0.9.0,0.7.0,
AddressUpgradeable_3.sol,>=0.6.2 <0.8.0,0.6.2,
Enum.sol,>=0.7.0 <0.9.0,0.7.0,
ECDSA.sol,>=0.6.0 <0.8.0,0.6.0,
AddressUpgradeable_2.sol,>=0.6.2 <0.8.0,0.6.2,
Context_7.sol,>=0.6.0 <0.8.0,0.6.0,
Router_2.sol,>=0.6.11,0.6.11,
SafeMath_6.sol,>=0.5.10,0.5.10,
ModuleManager.sol,>=0.7.0 <0.9.0,0.7.0,
TypedMemView_5.sol,>=0.5.10,0.5.10,
OwnableUpgradeable_4.sol,>=0.6.0 <0.8.0,0.6.0,
FallbackManager.sol,>=0.7.0 <0.9.0,0.7.0,
OwnableUpgradeable_6.sol,>=0.6.0 <0.8.0,0.6.0,
SignatureDecoder.sol,>=0.7.0 <0.9.0,0.7.0,
GnosisSafeProxy.sol,>=0.7.0 <0.9.0,0.7.0,
TypedMemView_7.sol,>=0.5.10,0.5.10,
ContextUpgradeable.sol,>=0.6.0 <0.8.0,0.6.0,
SafeMath_4.sol,>=0.5.10,0.5.10,
IBridgeToken_2.sol,>=0.6.11,0.6.11,
Queue_3.sol,>=0.6.11,0.6.11,
Common_8.sol,>=0.6.11,0.6.11,
Context_5.sol,>=0.6.0 <0.8.0,0.6.0,
IWeth.sol,>=0.6.11,0.6.11,
Home_8.sol,>=0.6.11,0.6.11,
AddressUpgradeable_1.sol,>=0.6.2 <0.8.0,0.6.2,
Context_4.sol,>=0.6.0 <0.8.0,0.6.0,
Router_1.sol,>=0.6.11,0.6.11,
Queue_2.sol,>=0.6.11,0.6.11,
Common_9.sol,>=0.6.11,0.6.11,
IBridgeToken_3.sol,>=0.6.11,0.6.11,
SafeMath_5.sol,>=0.5.10,0.5.10,
TypedMemView_6.sol,>=0.5.10,0.5.10,
EtherPaymentFallback.sol,>=0.7.0 <0.9.0,0.7.0,
IMessageRecipient_8.sol,>=0.6.11,0.6.11,
OwnableUpgradeable_7.sol,>=0.6.0 <0.8.0,0.6.0,
TypeCasts_1.sol,>=0.6.11,0.6.11,
Message_1.sol,>=0.6.11,0.6.11,
XAppConnectionClient_2.sol,>=0.6.11,0.6.11,
IMessageRecipient_5.sol,>=0.6.11,0.6.11,
Merkle_1.sol,>=0.6.11,0.6.11,
SafeMath_8.sol,>=0.5.10,0.5.10,
Version0_3.sol,>=0.6.11,0.6.11,
Common_4.sol,>=0.6.11,0.6.11,
Home_5.sol,>=0.6.11,0.6.11,
Home_4.sol,>=0.6.11,0.6.11,
Common_5.sol,>=0.6.11,0.6.11,
Version0_2.sol,>=0.6.11,0.6.11,
SafeMath_9.sol,>=0.6.0 <0.8.0,0.6.0,
TypedMemView_10.sol,>=0.5.10,0.5.10,
StorageAccessible.sol,>=0.7.0 <0.9.0,0.7.0,
IMessageRecipient_4.sol,>=0.6.11,0.6.11,
GovernanceMessage.sol,>=0.6.11,0.6.11,
Message_2.sol,>=0.6.11,0.6.11,
TypeCasts_2.sol,>=0.6.11,0.6.11,
XAppConnectionClient_1.sol,>=0.6.11,0.6.11,
GuardManager.sol,>=0.7.0 <0.9.0,0.7.0,
IMessageRecipient_6.sol,>=0.6.11,0.6.11,
TypedMemView_8.sol,>=0.5.10,0.5.10,
Merkle_2.sol,>=0.6.11,0.6.11,
Common_7.sol,>=0.6.11,0.6.11,
Home_6.sol,>=0.6.11,0.6.11,
Home_7.sol,>=0.6.11,0.6.11,
Common_6.sol,>=0.6.11,0.6.11,
Merkle_3.sol,>=0.6.11,0.6.11,
TypedMemView_9.sol,>=0.5.10,0.5.10,
IMessageRecipient_7.sol,>=0.6.11,0.6.11,
UpgradeBeacon.sol,>=0.6.11,0.6.11,
Router.sol,>=0.6.11,0.6.11,
TypeCasts_3.sol,>=0.6.11,0.6.11,
Message_3.sol,>=0.6.11,0.6.11,
Message_7.sol,>=0.6.11,0.6.11,
TypeCasts_7.sol,>=0.6.11,0.6.11,
IMessageRecipient_3.sol,>=0.6.11,0.6.11,
Version0_5.sol,>=0.6.11,0.6.11,
Merkle_7.sol,>=0.6.11,0.6.11,
Common_2.sol,>=0.6.11,0.6.11,
Home_3.sol,>=0.6.11,0.6.11,
Home_2.sol,>=0.6.11,0.6.11,
Common_3.sol,>=0.6.11,0.6.11,
Merkle_6.sol,>=0.6.11,0.6.11,
Version0_4.sol,>=0.6.11,0.6.11,
IMessageRecipient_2.sol,>=0.6.11,0.6.11,
TypeCasts_6.sol,>=0.6.11,0.6.11,
Message_6.sol,>=0.6.11,0.6.11,
Merkle.sol,>=0.6.11,0.6.11,
BridgeRouter_1.sol,>=0.6.11,0.6.11,
IBridgeToken.sol,>=0.6.11,0.6.11,
TypeCasts_4.sol,>=0.6.11,0.6.11,
Message_4.sol,>=0.6.11,0.6.11,
ETHHelper.sol,>=0.6.11,0.6.11,
Context.sol,>=0.6.0 <0.8.0,0.6.0,
Version0_6.sol,>=0.6.11,0.6.11,
Merkle_4.sol,>=0.6.11,0.6.11,
Common_1.sol,>=0.6.11,0.6.11,
AddressUpgradeable_9.sol,>=0.6.2 <0.8.0,0.6.2,
AddressUpgradeable_8.sol,>=0.6.2 <0.8.0,0.6.2,
Merkle_5.sol,>=0.6.11,0.6.11,
Version0_7.sol,>=0.6.11,0.6.11,
IUpdaterManager_4_1.sol,>=0.6.11,0.6.11,
Message_5.sol,>=0.6.11,0.6.11,
TypeCasts_5.sol,>=0.6.11,0.6.11,
BridgeRouter_2.sol,>=0.6.11,0.6.11,
Initializable_7.sol,>=0.4.24 <0.8.0,0.4.24,
XAppConnectionManager.sol,>=0.6.11,0.6.11,
IUpdaterManager_4.sol,>=0.6.11,0.6.11,
IERC20_4.sol,>=0.6.0 <0.8.0,0.6.0,
TypeCasts.sol,>=0.6.11,0.6.11,
Address_6.sol,>=0.6.2 <0.8.0,0.6.2,
ECDSA_6.sol,>=0.6.0 <0.8.0,0.6.0,
ContextUpgradeable_6.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable_3.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable_2.sol,>=0.6.0 <0.8.0,0.6.0,
BridgeMessage.sol,>=0.6.11,0.6.11,
IUpdaterManager.sol,>=0.6.11,0.6.11,
GovernanceRouter.sol,>=0.6.11,0.6.11,
ContextUpgradeable_7.sol,>=0.6.0 <0.8.0,0.6.0,
ECDSA_7.sol,>=0.6.0 <0.8.0,0.6.0,
Message.sol,>=0.6.11,0.6.11,
Address_7.sol,>=0.6.2 <0.8.0,0.6.2,
IUpdaterManager_5.sol,>=0.6.11,0.6.11,
Initializable_6.sol,>=0.4.24 <0.8.0,0.4.24,
Initializable_4.sol,>=0.4.24 <0.8.0,0.4.24,
IUpdaterManager_7.sol,>=0.6.11,0.6.11,
Address_5.sol,>=0.6.2 <0.8.0,0.6.2,
ECDSA_5.sol,>=0.6.0 <0.8.0,0.6.0,
XAppConnectionClient.sol,>=0.6.11,0.6.11,
ContextUpgradeable_5.sol,>=0.6.0 <0.8.0,0.6.0,
Version0_10.sol,>=0.6.11,0.6.11,
ContextUpgradeable_4.sol,>=0.6.0 <0.8.0,0.6.0,
ECDSA_4.sol,>=0.6.0 <0.8.0,0.6.0,
Initializable_10.sol,>=0.4.24 <0.8.0,0.4.24,
Address_4.sol,>=0.6.2 <0.8.0,0.6.2,
BridgeToken.sol,>=0.6.11,0.6.11,
IUpdaterManager_6.sol,>=0.6.11,0.6.11,
Initializable_5.sol,>=0.4.24 <0.8.0,0.4.24,
IUpdaterManager_2.sol,>=0.6.11,0.6.11,
IERC20_2.sol,>=0.6.0 <0.8.0,0.6.0,
BridgeRouter.sol,>=0.6.11,0.6.11,
Encoding_3.sol,>=0.6.11,0.6.11,
Singleton.sol,>=0.7.0 <0.9.0,0.7.0,
UpgradeBeaconProxy_8.sol,>=0.6.11,0.6.11,
Ownable_5.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable_4.sol,>=0.6.0 <0.8.0,0.6.0,
UpgradeBeaconProxy_9.sol,>=0.6.11,0.6.11,
GnosisSafe.sol,>=0.7.0 <0.9.0,0.7.0,
Encoding_2.sol,>=0.6.11,0.6.11,
IERC20_3.sol,>=0.6.0 <0.8.0,0.6.0,
AddressUpgradeable.sol,>=0.6.2 <0.8.0,0.6.2,
IUpdaterManager_3.sol,>=0.6.11,0.6.11,
Address_18.sol,>=0.6.2 <0.8.0,0.6.2,
Common.sol,>=0.6.11,0.6.11,
BridgeMessage_2.sol,>=0.6.11,0.6.11,
Initializable_2.sol,>=0.4.24 <0.8.0,0.4.24,
Address_3.sol,>=0.6.2 <0.8.0,0.6.2,
ECDSA_3.sol,>=0.6.0 <0.8.0,0.6.0,
GnosisSafeMath.sol,>=0.7.0 <0.9.0,0.7.0,
Executor.sol,>=0.7.0 <0.9.0,0.7.0,
ContextUpgradeable_3.sol,>=0.6.0 <0.8.0,0.6.0,
UpdaterManager.sol,>=0.6.11,0.6.11,
Ownable_6.sol,>=0.6.0 <0.8.0,0.6.0,
Ownable_7.sol,>=0.6.0 <0.8.0,0.6.0,
ContextUpgradeable_2.sol,>=0.6.0 <0.8.0,0.6.0,
Queue_4_1.sol,>=0.6.11,0.6.11,
ECDSA_2.sol,>=0.6.0 <0.8.0,0.6.0,
Address_2.sol,>=0.6.2 <0.8.0,0.6.2,
SelfAuthorized.sol,>=0.7.0 <0.9.0,0.7.0,
Initializable_3.sol,>=0.4.24 <0.8.0,0.4.24,
BridgeMessage_3.sol,>=0.6.11,0.6.11,
