file,original pragma version,compiled version,notes
import.sol,^0.8.0,0.8.0,
SecuredTokenTransfer.sol,>=0.7.0 <0.9.0,0.7.0,
ProxyAdmin.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy.sol,^0.8.0,0.8.0,
IBeacon.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
OwnerManager.sol,>=0.7.0 <0.9.0,0.7.0,
Address.sol,^0.8.0,0.8.0,
ISignatureValidator.sol,>=0.7.0 <0.9.0,0.7.0,
Enum.sol,>=0.7.0 <0.9.0,0.7.0,
ModuleManager.sol,>=0.7.0 <0.9.0,0.7.0,
FallbackManager.sol,>=0.7.0 <0.9.0,0.7.0,
SignatureDecoder.sol,>=0.7.0 <0.9.0,0.7.0,
GnosisSafeProxy.sol,>=0.7.0 <0.9.0,0.7.0,
StorageSlot.sol,^0.8.0,0.8.0,
EtherPaymentFallback.sol,>=0.7.0 <0.9.0,0.7.0,
Proxy.sol,^0.5.3,0.5.3,
StorageAccessible.sol,>=0.7.0 <0.9.0,0.7.0,
GuardManager.sol,>=0.7.0 <0.9.0,0.7.0,
ERC1967Proxy.sol,^0.8.0,0.8.0,
ChainportBridgeEth.sol,>=0.6.2 <0.8.0,0.6.2,
Context.sol,^0.8.0,0.8.0,
Proxiable.sol,^0.8.2,0.8.2,
GnosisSafe_1.sol,>=0.7.0 <0.9.0,0.7.0,
ERC1967Upgrade.sol,^0.8.2,0.8.2,
Singleton.sol,>=0.7.0 <0.9.0,0.7.0,
GnosisSafe.sol,>=0.5.0 <0.7.0,0.5.0,
UUPSUpgradeable.sol,^0.8.0,0.8.0,
Proxy_2.sol,^0.8.0,0.8.0,
ChainportToken.sol,>=0.6.0 <0.8.0,0.6.0,
GnosisSafeMath.sol,>=0.7.0 <0.9.0,0.7.0,
Executor.sol,>=0.7.0 <0.9.0,0.7.0,
SelfAuthorized.sol,>=0.7.0 <0.9.0,0.7.0,
