file,original pragma version,compiled version,notes
ZeroCopySource.sol,0.8.17,0.8.17,
EPOA.sol,0.8.17,0.8.17,
Typecast.sol,0.8.17,0.8.17,
GovBridgeV2PoS.sol,^0.8.17,0.8.17,
ModUtils.sol,0.8.17,0.8.17,
IBridgeV2.sol,^0.8.17,0.8.17,
IGateKeeper.sol,0.8.17,0.8.17,
NodeRegistryV2.sol,^0.8.17,0.8.17,
ProxiesVerify.sol,0.8.17,0.8.17,
BridgeV2.sol,^0.8.17,0.8.17,
GovBridgeV2.sol,^0.8.17,0.8.17,
Merkle.sol,0.8.17,0.8.17,
Block.sol,0.8.17,0.8.17,
GateKeeper.sol,0.8.17,0.8.17,
RequestIdLib.sol,0.8.17,0.8.17,
IValidatedDataReciever.sol,0.8.17,0.8.17,
Utils.sol,0.8.17,0.8.17,
Bls.sol,0.8.17,0.8.17,
INodeRegistry.sol,0.8.17,0.8.17,
IGovBridgeV2.sol,^0.8.17,0.8.17,
RequestIdChecker.sol,0.8.17,0.8.17,
