file,original pragma version,compiled version,notes
Initializable.sol,>=0.4.24 <0.7.0,0.4.24,
AdminUpgradeabilityProxy.sol,^0.6.0,0.6.0,
IERC20.sol,^0.6.0,0.6.0,
VerifierRollupInterface.sol,^0.6.12,0.6.12,
IWithdrawalDelayer_1.sol,0.6.12,0.6.12,
HermezHelpers.sol,^0.6.12,0.6.12,
IHermezAuctionProtocol.sol,0.6.12,0.6.12,
Hermez.sol,0.6.12,0.6.12,
HermezHelpers_1.sol,^0.6.12,0.6.12,
IHermezAuctionProtocol_1.sol,0.6.12,0.6.12,
SafeMath_1.sol,^0.6.0,0.6.0,
VerifierWithdrawInterface.sol,^0.6.12,0.6.12,
SafeMath.sol,^0.6.0,0.6.0,
Address.sol,>=0.6.2 <0.8.0,0.6.2,
Proxy.sol,^0.6.0,0.6.0,
IWithdrawalDelayer.sol,0.6.12,0.6.12,
VerifierRollupInterface_1.sol,^0.6.12,0.6.12,
InstantWithdrawManager_1.sol,0.6.12,0.6.12,
VerifierWithdrawInterface_1.sol,^0.6.12,0.6.12,
Hermez_1.sol,0.6.12,0.6.12,
UpgradeabilityProxy.sol,^0.6.0,0.6.0,
Initializable_1.sol,>=0.4.24 <0.7.0,0.4.24,
InstantWithdrawManager.sol,0.6.12,0.6.12,
IERC20_1.sol,^0.6.0,0.6.0,
