file,original pragma version,compiled version,notes
demoERC20Token.sol,^0.4.24,0.4.24,
Exchange.sol,^0.4.24,0.4.24,
CCTRoot.sol,^0.4.24,0.4.24,
CCTTrustTest.sol,^0.4.24,0.4.24,
SafeMath.sol,^0.4.24,0.4.24,
AggregationWan.sol,^0.4.24,0.4.24,
Goods.sol,^0.4.24,0.4.24,
rlp.sol,^0.4.24,0.4.24,
wrch.sol,^0.4.24,0.4.24,
CCTChannel.sol,^0.4.24,0.4.24,
Aggregation.sol,^0.4.24,0.4.24,
GoodsProxy.sol,^0.4.24,0.4.24,
CCTDispatcher.sol,^0.4.24,0.4.24,
ExchangeProxy.sol,^0.4.24,0.4.24,
SubServer.sol,^0.4.24,0.4.24,
erc20B.sol,^0.4.24,0.4.24,
AggregationBase.sol,^0.4.24,0.4.24,
