file,original pragma version,compiled version,notes
IERC20.sol,^0.8.0,0.8.0,
ReentrancyGuard.sol,0.8.17,0.8.17,
SwapperV2.sol,0.8.17,0.8.17,
LiFiDiamond.sol,0.8.17,0.8.17,
ILiFi.sol,0.8.17,0.8.17,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.8.0,0.8.0,
IDiamondCut.sol,0.8.17,0.8.17,
Address.sol,^0.8.1,0.8.1,
LibDiamond.sol,0.8.17,0.8.17,
GenericErrors_1.sol,0.8.17,0.8.17,
IConnextHandler.sol,0.8.17,0.8.17,
LibAllowList.sol,0.8.17,0.8.17,
LibUtil.sol,0.8.17,0.8.17,
LibAsset.sol,0.8.17,0.8.17,
Validatable.sol,0.8.17,0.8.17,
LibBytes.sol,0.8.17,0.8.17,
LibBytes_1.sol,0.8.17,0.8.17,
GenericErrors.sol,0.8.17,0.8.17,
LibSwap.sol,0.8.17,0.8.17,
AmarokFacet.sol,0.8.17,0.8.17,
LibUtil_1.sol,0.8.17,0.8.17,
