file,original pragma version,compiled version,notes
Lib_AddressResolver_1.sol,^0.8.9,0.8.9,
MVM_CanonicalTransaction_1.sol,^0.8.0,0.8.0,
Initializable.sol,^0.8.0,0.8.0,
Lib_RLPReader_1.sol,^0.8.9,0.8.9,
L2StandardBridge_1.sol,^0.8.9,0.8.9,
IERC20.sol,^0.8.0,0.8.0,
MVM_Verifier.sol,^0.8.0,0.8.0,
Lib_AddressResolver_2.sol,^0.8.9,0.8.9,
L1StandardBridge_1.sol,^0.8.9,0.8.9,
MVM_L2ChainManagerOnL1.sol,^0.8.9,0.8.9,
Ownable_9.sol,^0.8.0,0.8.0,
Ownable_8.sol,^0.8.0,0.8.0,
IChainStorageContainer.sol,>0.5.0 <0.9.0,0.5.0,
ICrossDomainMessenger_4.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressResolver_3.sol,^0.8.9,0.8.9,
AddressAliasHelper_1.sol,^0.8.7,0.8.7,
iL1ChugSplashDeployer_1.sol,^0.8.9,0.8.9,
iMVM_L2ChainManagerOnL1.sol,^0.8.9,0.8.9,
ICrossDomainMessenger_1.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressResolver_4.sol,^0.8.9,0.8.9,
ICrossDomainMessenger.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressManager.sol,^0.8.9,0.8.9,
ICrossDomainMessenger_3.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressManager_8.sol,^0.8.9,0.8.9,
iL1ChugSplashDeployer_3.sol,^0.8.9,0.8.9,
IStateCommitmentChain.sol,>0.5.0 <0.9.0,0.5.0,
IL1StandardBridge.sol,>0.5.0 <0.9.0,0.5.0,
MVM_Verifier_1.sol,^0.8.0,0.8.0,
iL1ChugSplashDeployer_2.sol,^0.8.9,0.8.9,
Lib_AddressManager_9.sol,^0.8.9,0.8.9,
ICrossDomainMessenger_2.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressResolver_5.sol,^0.8.9,0.8.9,
ChainStorageContainer_1.sol,^0.8.9,0.8.9,
IChainStorageContainer_1.sol,>0.5.0 <0.9.0,0.5.0,
L1ChugSplashProxy.sol,^0.8.9,0.8.9,
SafeERC20_1.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
Lib_Bytes32Utils.sol,^0.8.9,0.8.9,
ChainStorageContainer_2.sol,^0.8.9,0.8.9,
SafeERC20.sol,^0.8.0,0.8.0,
Lib_BytesUtils.sol,^0.8.9,0.8.9,
Lib_SecureMerkleTrie.sol,^0.8.9,0.8.9,
Context_3.sol,^0.8.0,0.8.0,
IChainStorageContainer_2.sol,>0.5.0 <0.9.0,0.5.0,
IChainStorageContainer_3.sol,>0.5.0 <0.9.0,0.5.0,
Context_2.sol,^0.8.0,0.8.0,
CrossDomainEnabled.sol,>0.5.0 <0.9.0,0.5.0,
OVM_GasPriceOracle_1.sol,^0.8.9,0.8.9,
