file,original pragma version,compiled version,notes
AnyswapV6ERC20_1.sol,^0.8.2,0.8.2,
AnyswapV4Router.sol,>=0.8.0,0.8.0,
Erc20SwapAsset_1.sol,^0.5.0,0.5.0,
MultichainV7Router.sol,^0.8.10,0.8.10,
fKRW.sol,0.8.1,0.8.1,
AnyswapV3Router_1.sol,>=0.8.2,0.8.2,
BtcSwapAssetV2.sol,^0.5.0,0.5.0,
AnyswapV3Router.sol,>=0.8.2,0.8.2,
MultichainV7Router_1.sol,^0.8.10,0.8.10,
Erc20SwapAsset.sol,^0.5.0,0.5.0,
fUSD.sol,0.8.1,0.8.1,
NFTRouter.sol,^0.8.6,0.8.6,
AnyswapV6ERC20.sol,^0.8.2,0.8.2,
AnyswapV6Router.sol,>=0.8.2,0.8.2,
LtcSwapAsset.sol,^0.5.0,0.5.0,
AnyswapV4Router_1.sol,>=0.8.0,0.8.0,
AnyswapV5ERC20.sol,0.8.2,0.8.2,
AnyswapV4ERC20.sol,0.8.2,0.8.2,
AnyswapV5ERC20_1.sol,0.8.2,0.8.2,
AnyswapV5ERC20_3.sol,0.8.2,0.8.2,
AnyswapV5ERC20_2.sol,0.8.2,0.8.2,
