file,original pragma version,compiled version,notes
ERC1155.sol,^0.7.0,0.7.0,
Initializable.sol,0.7.5,0.7.5,
IERC721Enumerable.sol,^0.7.0,0.7.0,
IOwnable.sol,0.7.5,0.7.5,
NativeTokensRegistry.sol,0.7.5,0.7.5,
IERC721Metadata.sol,^0.7.0,0.7.0,
IERC1155MetadataURI_1.sol,^0.7.0,0.7.0,
ERC721BridgeToken_1.sol,0.7.5,0.7.5,
IAMB.sol,0.7.5,0.7.5,
ReentrancyGuard.sol,0.7.5,0.7.5,
Upgradeable.sol,0.7.5,0.7.5,
NFTOmnibridgeInfo.sol,0.7.5,0.7.5,
IERC1155_1.sol,^0.7.0,0.7.0,
ERC1155BridgeToken.sol,0.7.5,0.7.5,
BasicAMBMediator.sol,0.7.5,0.7.5,
ERC721Relayer.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token_1.sol,0.7.5,0.7.5,
IERC1155Receiver.sol,^0.7.0,0.7.0,
VersionableBridge.sol,0.7.5,0.7.5,
NFTMediatorBalanceStorage.sol,0.7.5,0.7.5,
IERC721Receiver.sol,^0.7.0,0.7.0,
IBurnableMintableERC721Token_1.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token.sol,0.7.5,0.7.5,
ERC165_2.sol,^0.7.0,0.7.0,
SafeMath_1.sol,^0.7.0,0.7.0,
IERC721_1.sol,^0.7.0,0.7.0,
Ownable.sol,0.7.5,0.7.5,
Context_1.sol,>=0.6.0 <0.8.0,0.6.0,
IERC1155.sol,^0.7.0,0.7.0,
MetadataReader.sol,0.7.5,0.7.5,
ERC165_1.sol,^0.7.0,0.7.0,
SafeMath_2.sol,^0.7.0,0.7.0,
MultiSigWallet.sol,^0.4.15,0.4.15,
Context_2.sol,>=0.6.0 <0.8.0,0.6.0,
SafeMath.sol,^0.7.0,0.7.0,
BridgeValidators.sol,0.4.24,0.4.24,
EternalStorageProxy.sol,0.4.24,0.4.24,
EnumerableMap.sol,^0.7.0,0.7.0,
TokenImageStorage.sol,0.7.5,0.7.5,
ForeignNFTOmnibridge.sol,0.7.5,0.7.5,
ERC721BridgeToken.sol,0.7.5,0.7.5,
Address.sol,^0.7.0,0.7.0,
ERC721.sol,^0.7.0,0.7.0,
IERC721Metadata_1.sol,^0.7.0,0.7.0,
BridgedTokensRegistry.sol,0.7.5,0.7.5,
IERC721.sol,^0.7.0,0.7.0,
IERC1155TokenReceiver.sol,0.7.5,0.7.5,
IERC721Receiver_1.sol,^0.7.0,0.7.0,
WETHOmnibridgeRouter.sol,0.7.5,0.7.5,
BasicNFTOmnibridge.sol,0.7.5,0.7.5,
Proxy.sol,0.7.5,0.7.5,
ForeignMultiAMBErc20ToErc677.sol,^0.4.24,0.4.24,
EternalStorageProxy_2.sol,0.4.24,0.4.24,
IERC1155MetadataURI.sol,^0.7.0,0.7.0,
Bytes.sol,0.7.5,0.7.5,
EnumerableSet.sol,^0.7.0,0.7.0,
EternalStorageProxy_1.sol,0.4.24,0.4.24,
EnumerableSet_1.sol,^0.7.0,0.7.0,
ERC1155TokenProxy.sol,0.7.5,0.7.5,
IOwnable_2.sol,0.7.5,0.7.5,
IUpgradeabilityOwnerStorage.sol,0.7.5,0.7.5,
ERC721_1.sol,^0.7.0,0.7.0,
ForeignAMB_1.sol,0.4.24,0.4.24,
BridgeOperationsStorage.sol,0.7.5,0.7.5,
GasLimitManager.sol,0.7.5,0.7.5,
IERC165_2.sol,^0.7.0,0.7.0,
BaseRelayer.sol,0.7.5,0.7.5,
IBurnableMintableERC721Token.sol,0.7.5,0.7.5,
ERC721TokenProxy.sol,0.7.5,0.7.5,
XDaiForeignBridge.sol,^0.4.24,0.4.24,
Context.sol,>=0.6.0 <0.8.0,0.6.0,
Strings.sol,^0.7.0,0.7.0,
IOwnable_1.sol,0.7.5,0.7.5,
FailedMessagesProcessor.sol,0.7.5,0.7.5,
EnumerableMap_1.sol,^0.7.0,0.7.0,
ForeignBridge.sol,0.4.24,0.4.24,
IERC165_1.sol,^0.7.0,0.7.0,
ForeignAMB.sol,0.4.24,0.4.24,
ERC1155Relayer.sol,0.7.5,0.7.5,
ForeignOmnibridge.sol,^0.7.0,0.7.0,
EternalStorage.sol,0.7.5,0.7.5,
IERC721Enumerable_1.sol,^0.7.0,0.7.0,
Strings_1.sol,^0.7.0,0.7.0,
ForeignAMBErc677ToErc677.sol,0.4.24,0.4.24,
ERC165.sol,^0.7.0,0.7.0,
Address_1.sol,^0.7.0,0.7.0,
IERC165.sol,^0.7.0,0.7.0,
NFTBridgeLimits.sol,0.7.5,0.7.5,
Address_2.sol,^0.7.0,0.7.0,
