file,original pragma version,compiled version,notes
Lib_AddressResolver_1.sol,>0.5.0 <0.8.0,0.5.0,
Initializable.sol,^0.8.2,0.8.2,
Lib_RLPReader_1.sol,>0.5.0 <0.8.0,0.5.0,
Hashing_1.sol,^0.8.0,0.8.0,
L1DAITokenBridge.sol,>=0.7.6,0.7.6,
iOVM_ExecutionManager.sol,>0.5.0 <0.8.0,0.5.0,
IERC20.sol,^0.8.0,0.8.0,
CrossDomainMessenger.sol,0.8.15,0.8.15,
AddressAliasHelper_2.sol,^0.8.7,0.8.7,
iOVM_StateManager.sol,>0.5.0 <0.8.0,0.5.0,
CrossDomainMessenger_1.sol,0.8.15,0.8.15,
Lib_AddressResolver_2.sol,^0.8.9,0.8.9,
Lib_RLPReader_2.sol,^0.8.9,0.8.9,
L1StandardBridge_1.sol,^0.8.9,0.8.9,
L2OutputOracle.sol,0.8.15,0.8.15,
Lib_RLPReader_3.sol,>0.5.0 <0.8.0,0.5.0,
OVM_CrossDomainEnabled.sol,>0.5.0 <0.8.0,0.5.0,
IChainStorageContainer.sol,>0.5.0 <0.9.0,0.5.0,
OVM_L1MultiMessageRelayer.sol,>0.5.0 <0.8.0,0.5.0,
Lib_AddressResolver_3.sol,>0.5.0 <0.8.0,0.5.0,
RLPReader.sol,^0.8.8,0.8.8,
AddressAliasHelper_1.sol,^0.8.7,0.8.7,
Lib_ErrorUtils.sol,>0.5.0 <0.8.0,0.5.0,
ERC20.sol,^0.8.0,0.8.0,
ICrossDomainMessenger_1.sol,>0.5.0 <0.9.0,0.5.0,
Lib_AddressResolver_4.sol,^0.8.9,0.8.9,
ICrossDomainMessenger.sol,>0.5.0 <0.9.0,0.5.0,
Types_1.sol,^0.8.0,0.8.0,
Lib_AddressManager.sol,>0.5.0 <0.8.0,0.5.0,
Lib_RLPReader_4.sol,^0.8.9,0.8.9,
iOVM_CanonicalTransactionChain_1.sol,>0.5.0 <0.8.0,0.5.0,
IStateCommitmentChain.sol,>0.5.0 <0.9.0,0.5.0,
Hashing.sol,^0.8.0,0.8.0,
OVM_ExecutionManager.sol,>0.5.0 <0.8.0,0.5.0,
iOVM_DeployerWhitelist.sol,>0.5.0 <0.8.0,0.5.0,
iOVM_FraudVerifier.sol,>0.5.0 <0.8.0,0.5.0,
IL1StandardBridge.sol,>0.5.0 <0.9.0,0.5.0,
ResourceMetering.sol,0.8.15,0.8.15,
SystemConfig.sol,0.8.15,0.8.15,
Encoding.sol,^0.8.0,0.8.0,
IChainStorageContainer_1.sol,>0.5.0 <0.9.0,0.5.0,
RLPWriter.sol,^0.8.0,0.8.0,
