file,original pragma version,compiled version,notes
StakeManagerProxy.sol,^0.5.2,0.5.2,
ERC1155.sol,^0.8.0,0.8.0,
EtherPredicateProxy.sol,0.6.6,0.6.6,
MerklePatriciaProof_4.sol,0.6.6,0.6.6,
IERC721Metadata.sol,^0.8.0,0.8.0,
MerklePatriciaProof_5.sol,^0.8.0,0.8.0,
MintableERC20Predicate.sol,^0.6.0,0.6.0,
IERC20.sol,^0.8.0,0.8.0,
ERC1155Receiver.sol,^0.8.0,0.8.0,
MerklePatriciaProof_7.sol,^0.8.0,0.8.0,
MerklePatriciaProof_6.sol,^0.8.0,0.8.0,
RootChain.sol,>=0.5.0 <0.7.0,0.5.0,
IERC1155_1.sol,^0.8.0,0.8.0,
RLPReader.sol,^0.8.0,0.8.0,
ERC1155Predicate.sol,^0.6.0,0.6.0,
ERC1155Holder_1.sol,^0.8.0,0.8.0,
ERC1155PredicateProxy.sol,0.6.6,0.6.6,
MerklePatriciaProof_2.sol,^0.8.0,0.8.0,
ERC20.sol,^0.8.0,0.8.0,
MerklePatriciaProof_3.sol,^0.5.2,0.5.2,
MintableERC1155Predicate.sol,^0.6.0,0.6.0,
IFxERC20.sol,^0.8.0,0.8.0,
FxERC721RootTunnel.sol,^0.8.0,0.8.0,
MintableERC1155PredicateProxy.sol,0.6.6,0.6.6,
IERC1155Receiver.sol,^0.8.0,0.8.0,
IERC721Receiver.sol,^0.8.0,0.8.0,
MerklePatriciaProof_1.sol,^0.8.0,0.8.0,
FxMintableERC721RootTunnel.sol,^0.8.0,0.8.0,
IFxERC721.sol,^0.8.0,0.8.0,
ValidatorShare.sol,^0.5.2,0.5.2,
ExitPayloadReader_5.sol,^0.8.0,0.8.0,
RLPReader_2.sol,^0.8.0,0.8.0,
ValidatorShareFactory.sol,^0.5.2,0.5.2,
ERC165_2.sol,^0.8.0,0.8.0,
SafeMath_1.sol,^0.6.0,0.6.0,
IERC721_1.sol,^0.8.0,0.8.0,
SafeERC20_1.sol,^0.8.0,0.8.0,
ECVerify.sol,^0.5.2,0.5.2,
Context_1.sol,^0.8.0,0.8.0,
FxMintableERC1155RootTunnel.sol,^0.8.0,0.8.0,
