file,original pragma version,compiled version,notes
IERC777Recipient.sol,^0.7.0,0.7.0,
Initializable.sol,^0.8.0,0.8.0,
Federation.sol,^0.7.0,0.7.0,
AdminUpgradeabilityProxy.sol,^0.5.0,0.5.0,
IERC20.sol,^0.8.0,0.8.0,
AllowTokensProxy.sol,^0.7.0,0.7.0,
ISideTokenFactory.sol,^0.7.0,0.7.0,
UpgradableOwnable.sol,^0.7.0,0.7.0,
IERC777Sender.sol,^0.7.0,0.7.0,
Federation_v1.sol,^0.5.0,0.5.0,
UpgradeableProxy.sol,^0.7.0,0.7.0,
TransparentUpgradeableProxy.sol,^0.7.0,0.7.0,
IERC1820Registry.sol,^0.7.0,0.7.0,
Context_1.sol,^0.7.0,0.7.0,
IERC20Basic.sol,^0.8.0,0.8.0,
MultiSigWallet.sol,0.5.15,0.5.15,
SafeMath.sol,^0.7.0,0.7.0,
Payroll.sol,^0.8.0,0.8.0,
Bridge.sol,^0.7.0,0.7.0,
Address.sol,^0.7.0,0.7.0,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
LibEIP712.sol,^0.7.0,0.7.0,
IBridge.sol,^0.7.0,0.7.0,
ContextUpgradeable.sol,^0.8.0,0.8.0,
IERC677Receiver.sol,^0.7.0,0.7.0,
ReentrancyGuardUpgradeable.sol,^0.8.0,0.8.0,
Proxies.sol,^0.7.0,0.7.0,
Secondary.sol,^0.7.0,0.7.0,
Proxy.sol,^0.7.0,0.7.0,
AllowTokens.sol,^0.7.0,0.7.0,
SideTokenFactory.sol,^0.7.0,0.7.0,
Context.sol,^0.7.0,0.7.0,
ISideToken.sol,^0.7.0,0.7.0,
TransferHelper.sol,>=0.6.0,0.6.0,
IUniswap.sol,^0.8.0,0.8.0,
Bridge_v1.sol,>=0.4.24 <0.6.0,0.4.24,
SideToken.sol,^0.7.0,0.7.0,
Bridge_v0.sol,>=0.4.24 <0.6.0,0.4.24,
SideTokenFactory_v1.sol,^0.5.0,0.5.0,
Initializable_1.sol,^0.7.0,0.7.0,
ERC777.sol,^0.7.0,0.7.0,
IERC777.sol,^0.7.0,0.7.0,
Address_1.sol,^0.7.0,0.7.0,
AddressUpgradeable.sol,^0.8.1,0.8.1,
BytesLib.sol,^0.8.0,0.8.0,
IERC20_1.sol,^0.7.0,0.7.0,
