file,original pragma version,compiled version,notes
Initializable.sol,>=0.4.24 <0.7.0,0.4.24,
IAccessControl_2.sol,^0.8.0,0.8.0,
Claimable.sol,^0.5.17,0.5.17,
StringsUpgradeable_2.sol,^0.8.0,0.8.0,
IERC20.sol,^0.5.0,0.5.0,
BaseUpgradeabilityProxy.sol,^0.5.0,0.5.0,
AccessControlUpgradeable_2.sol,^0.8.0,0.8.0,
MintGatewayV2.sol,^0.5.17,0.5.17,
IAccessControl_1.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable.sol,^0.8.0,0.8.0,
StringsUpgradeable_1.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_1.sol,^0.8.0,0.8.0,
MintGatewayV1.sol,0.5.17,0.5.17,
ILockGateway_3.sol,^0.8.0,0.8.0,
BasicBridge.sol,^0.8.0,0.8.0,
ERC20WithRate.sol,^0.5.17,0.5.17,
IAccessControlUpgradeable_1.sol,^0.8.0,0.8.0,
IMintGateway_1.sol,^0.8.0,0.8.0,
ERC20.sol,^0.5.0,0.5.0,
AccessControl_2.sol,^0.8.0,0.8.0,
CanReclaimTokens.sol,^0.5.17,0.5.17,
GatewayRegistry_2.sol,^0.8.0,0.8.0,
ProtocolLogicV1.sol,0.5.16,0.5.16,
ILockGateway_2.sol,^0.8.0,0.8.0,
RenERC20LogicV1_1.sol,0.5.16,0.5.16,
IAccessControlUpgradeable_2.sol,^0.8.0,0.8.0,
IMintGateway_2.sol,^0.8.0,0.8.0,
StringV1.sol,^0.8.0,0.8.0,
ERC20WithPermit.sol,^0.5.17,0.5.17,
DarknodeRegistryProxy.sol,0.5.16,0.5.16,
AccessControl_1.sol,^0.8.0,0.8.0,
GatewayRegistry_1.sol,^0.8.0,0.8.0,
IMintGateway_3.sol,^0.8.0,0.8.0,
ILockGateway_1.sol,^0.8.0,0.8.0,
UpgradeableBeacon_2.sol,^0.8.0,0.8.0,
IERC165Upgradeable.sol,^0.8.0,0.8.0,
ERC165_2.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy.sol,^0.8.0,0.8.0,
IBeacon.sol,^0.8.0,0.8.0,
IAccessControlEnumerableUpgradeable_2.sol,^0.8.0,0.8.0,
ProtocolProxy.sol,0.5.16,0.5.16,
RenERC20.sol,^0.5.16,0.5.16,
SafeERC20_1.sol,^0.8.0,0.8.0,
Ownable.sol,^0.5.0,0.5.0,
Context_1.sol,^0.8.0,0.8.0,
StringSet_1.sol,^0.8.0,0.8.0,
OwnableUpgradeable_2.sol,^0.8.0,0.8.0,
IERC165Upgradeable_1.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.5.0,0.5.0,
UpgradeableBeacon_1.sol,^0.8.0,0.8.0,
IGatewayRegistry.sol,^0.8.0,0.8.0,
ERC165_1.sol,^0.8.0,0.8.0,
AccessControlEnumerableUpgradeable.sol,^0.8.0,0.8.0,
IAccessControlEnumerableUpgradeable_1.sol,^0.8.0,0.8.0,
Context_3.sol,^0.8.0,0.8.0,
DarknodeRegistryLogicV1.sol,0.5.16,0.5.16,
Context_2.sol,^0.8.0,0.8.0,
StringSet_2.sol,^0.8.0,0.8.0,
SafeMath.sol,^0.5.0,0.5.0,
BaseAdminUpgradeabilityProxy.sol,^0.5.0,0.5.0,
OwnableUpgradeable_1.sol,^0.8.0,0.8.0,
RenAssetFactory.sol,^0.8.0,0.8.0,
IERC165Upgradeable_2.sol,^0.8.0,0.8.0,
StorageSlot_2.sol,^0.8.0,0.8.0,
Address.sol,^0.5.5,0.5.5,
ILockGateway.sol,^0.8.0,0.8.0,
AccessControlUpgradeable.sol,^0.8.0,0.8.0,
GatewayLogicV1.sol,0.5.16,0.5.16,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
ECDSA.sol,^0.5.0,0.5.0,
IBeacon_2.sol,^0.8.0,0.8.0,
AccessControlEnumerableUpgradeable_2.sol,^0.8.0,0.8.0,
String_1.sol,^0.8.0,0.8.0,
StorageSlot_1.sol,^0.8.0,0.8.0,
DarknodePayment.sol,0.5.16,0.5.16,
String_3.sol,^0.8.0,0.8.0,
GatewayRegistry.sol,^0.8.0,0.8.0,
ContextUpgradeable.sol,^0.8.0,0.8.0,
StorageSlot.sol,^0.8.0,0.8.0,
Context_4.sol,^0.8.0,0.8.0,
IBeacon_1.sol,^0.8.0,0.8.0,
AccessControlEnumerableUpgradeable_1.sol,^0.8.0,0.8.0,
InitializableUpgradeabilityProxy.sol,^0.5.0,0.5.0,
GatewayRegistryV3.sol,^0.8.0,0.8.0,
String_2.sol,^0.8.0,0.8.0,
Proxy.sol,^0.5.0,0.5.0,
RenERC20LogicV1.sol,^0.5.16,0.5.16,
BeaconProxy_2.sol,^0.8.0,0.8.0,
IAccessControl.sol,^0.8.0,0.8.0,
InitializableAdminUpgradeabilityProxy.sol,^0.5.0,0.5.0,
IMintGateway.sol,^0.8.0,0.8.0,
String.sol,^0.5.17,0.5.17,
BeaconProxy_1.sol,^0.8.0,0.8.0,
ERC1967Proxy.sol,^0.8.0,0.8.0,
ERC1967Proxy_1.sol,^0.8.0,0.8.0,
DarknodeRegistryStore.sol,0.5.16,0.5.16,
EnumerableSetUpgradeable_2.sol,^0.8.0,0.8.0,
RenAssetFactory_2.sol,^0.8.0,0.8.0,
IERC165_2.sol,^0.8.0,0.8.0,
IGateway.sol,^0.5.17,0.5.17,
ERC1967Proxy_2.sol,^0.8.0,0.8.0,
Context.sol,^0.5.0,0.5.0,
Strings.sol,^0.8.0,0.8.0,
EnumerableSetUpgradeable_1.sol,^0.8.0,0.8.0,
StringsUpgradeable.sol,^0.8.0,0.8.0,
RenAssetFactory_1.sol,^0.8.0,0.8.0,
IERC165_1.sol,^0.8.0,0.8.0,
IERC20_4.sol,^0.8.0,0.8.0,
ERC1967Upgrade_1.sol,^0.8.2,0.8.2,
Ownable_3.sol,^0.8.0,0.8.0,
Ownable_2.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy_2.sol,^0.8.0,0.8.0,
EnumerableSetUpgradeable.sol,^0.8.0,0.8.0,
Strings_2.sol,^0.8.0,0.8.0,
ERC165Upgradeable.sol,^0.8.0,0.8.0,
ERC1967Upgrade_2.sol,^0.8.2,0.8.2,
UpgradeableBeacon.sol,^0.8.0,0.8.0,
Ownable_1.sol,^0.8.0,0.8.0,
ProxyBeacon.sol,^0.8.0,0.8.0,
UpgradeabilityProxy.sol,^0.5.0,0.5.0,
TransparentUpgradeableProxy_1.sol,^0.8.0,0.8.0,
Address_4.sol,^0.8.0,0.8.0,
Strings_1.sol,^0.8.0,0.8.0,
RepublicToken.sol,^0.4.13,0.4.13,
ERC165.sol,^0.8.0,0.8.0,
Initializable_1.sol,^0.8.0,0.8.0,
ProxyBeacon_1.sol,^0.8.0,0.8.0,
Proxy_1.sol,^0.8.0,0.8.0,
IERC20_2.sol,^0.8.0,0.8.0,
ERC1967Upgrade.sol,^0.8.2,0.8.2,
