file,original pragma version,compiled version,notes
AxieCore.sol,^0.4.19,0.4.19,
AXSToken.sol,0.5.17,0.5.17,
IERC721Enumerable.sol,^0.8.0,0.8.0,
IERC721Metadata.sol,^0.8.0,0.8.0,
MainchainGatewayProxy.sol,^0.5.2,0.5.2,
IERC721Receiver.sol,^0.8.0,0.8.0,
Counters.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
Address.sol,^0.8.0,0.8.0,
IERC721.sol,^0.8.0,0.8.0,
TokenVesting.sol,^0.5.17,0.5.17,
PausableAdmin.sol,^0.5.2,0.5.2,
Registry.sol,^0.5.2,0.5.2,
TimelockFactory.sol,^0.5.2,0.5.2,
ERC721A.sol,^0.8.4,0.8.4,
AXS.sol,^0.5.17,0.5.17,
Context.sol,^0.8.0,0.8.0,
Strings.sol,^0.8.0,0.8.0,
MainchainGatewayManager.sol,^0.5.2,0.5.2,
MerkleDistributor.sol,^0.5.2,0.5.2,
Ronin.sol,^0.8.0,0.8.0,
ERC165.sol,^0.8.0,0.8.0,
IERC165.sol,^0.8.0,0.8.0,
LandSale.sol,^0.5.2,0.5.2,
MainchainValidator.sol,^0.5.2,0.5.2,
