file,original pragma version,compiled version,notes
ILiquidityPool_5.sol,>=0.8.2,0.8.2,
AccessControlUpgradeable_3.sol,^0.8.0,0.8.0,
IDepositExecute_3.sol,0.8.2,0.8.2,
RouterERC20Upgradable.sol,0.8.2,0.8.2,
Initializable.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable_2.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_4.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable_7.sol,^0.8.0,0.8.0,
StringsUpgradeable_3.sol,^0.8.0,0.8.0,
IHandlerReserve.sol,^0.8.0,0.8.0,
GenericHandlerUpgradeable.sol,^0.8.2,0.8.2,
StringsUpgradeable_2.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable_6.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_5.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable_3.sol,^0.8.0,0.8.0,
IERC20.sol,^0.8.0,0.8.0,
IVoterUpgradeable_1.sol,0.8.2,0.8.2,
IDepositExecute_2.sol,0.8.2,0.8.2,
AccessControlUpgradeable_2.sol,^0.8.0,0.8.0,
ILiquidityPool_4.sol,>=0.8.2,0.8.2,
ILiquidityPool_6.sol,>=0.8.2,0.8.2,
IVoterUpgradeable_3.sol,0.8.2,0.8.2,
IERC20MetadataUpgradeable_1.sol,^0.8.0,0.8.0,
Initializable_18.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_7.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable_4.sol,^0.8.0,0.8.0,
StringsUpgradeable_1.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable_5.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_6.sol,^0.8.0,0.8.0,
IVoterUpgradeable_2.sol,0.8.2,0.8.2,
IDepositExecute_1.sol,0.8.2,0.8.2,
AccessControlUpgradeable_1.sol,^0.8.0,0.8.0,
ILiquidityPool_7.sol,>=0.8.2,0.8.2,
IERC20Upgradeable_18.sol,^0.8.0,0.8.0,
Initializable_8.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_5.sol,^0.8.0,0.8.0,
ILiquidityPool_3.sol,>=0.8.2,0.8.2,
IVoterUpgradeable_6.sol,0.8.2,0.8.2,
IEthHandler.sol,^0.8.0,0.8.0,
IDepositExecute_5.sol,0.8.2,0.8.2,
IDepositExecute.sol,0.8.2,0.8.2,
StorageSlotUpgradeable_9.sol,^0.8.0,0.8.0,
ERC165Upgradeable_8.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable_4.sol,^0.8.0,0.8.0,
ContextUpgradeable_9.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable_1.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_2.sol,^0.8.0,0.8.0,
StringsUpgradeable_5.sol,^0.8.0,0.8.0,
StringsUpgradeable_4.sol,^0.8.0,0.8.0,
ReentrancyGuardUpgradeable_3.sol,^0.8.0,0.8.0,
ContextUpgradeable_8.sol,^0.8.0,0.8.0,
