file,original pragma version,compiled version,notes
AxelarGatewayProxyMultisig.sol,>=0.8.0 <0.9.0,0.8.0,
IOwnable.sol,^0.8.9,0.8.9,
IMintableCappedERC20.sol,^0.8.9,0.8.9,
AxelarAuthWeighted.sol,0.8.9,0.8.9,
IERC20.sol,^0.8.9,0.8.9,
EternalStorage_1.sol,>=0.8.0 <0.9.0,0.8.0,
AxelarGatewayProxy.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20BurnFrom.sol,^0.8.9,0.8.9,
ERC20.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20Permit.sol,^0.8.9,0.8.9,
AdminMultisigBase_1.sol,>=0.8.0 <0.9.0,0.8.0,
Ownable.sol,>=0.8.0 <0.9.0,0.8.0,
AxelarGateway_1.sol,0.8.9,0.8.9,
Burner.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20Burn.sol,^0.8.9,0.8.9,
AxelarGateway_2.sol,>=0.8.0 <0.9.0,0.8.0,
AxelarGatewayMultisig.sol,0.8.9,0.8.9,
AxelarGasServiceProxy.sol,0.8.9,0.8.9,
IAxelarGateway_1.sol,>=0.8.0 <0.9.0,0.8.0,
ECDSA.sol,0.8.9,0.8.9,
DepositHandler.sol,0.8.9,0.8.9,
IBurnableMintableCappedERC20.sol,^0.8.9,0.8.9,
AxelarGasService.sol,0.8.9,0.8.9,
TokenDeployer.sol,0.8.9,0.8.9,
AdminMultisigBase.sol,0.8.9,0.8.9,
TokenDeployer_1.sol,0.8.9,0.8.9,
IAxelarGateway.sol,^0.8.9,0.8.9,
BurnableMintableCappedERC20_1.sol,>=0.8.0 <0.9.0,0.8.0,
TokenDeployer_2.sol,0.8.9,0.8.9,
Context.sol,>=0.8.0 <0.9.0,0.8.0,
TokenDeployer_3.sol,0.8.9,0.8.9,
AxelarGateway.sol,0.8.9,0.8.9,
AxelarGatewayMultisig_1.sol,0.8.9,0.8.9,
EternalStorage.sol,0.8.9,0.8.9,
AxelarGatewayMultisig_3.sol,0.8.9,0.8.9,
AxelarGasService_1.sol,0.8.9,0.8.9,
IAxelarGatewayMultisig.sol,>=0.8.0 <0.9.0,0.8.0,
AxelarGatewayMultisig_2.sol,0.8.9,0.8.9,
BurnableMintableCappedERC20.sol,0.8.9,0.8.9,
IAxelarAuth.sol,^0.8.9,0.8.9,
ECDSA_1.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20_1.sol,>=0.8.0 <0.9.0,0.8.0,
ITokenDeployer.sol,^0.8.9,0.8.9,
AxelarGatewayMultisig_4.sol,>=0.8.0 <0.9.0,0.8.0,
