file,original pragma version,compiled version,notes
12_2.sol,^0.8,0.8,
8_6.sol,^0.8.0,0.8.0,
6_9.sol,>=0.5.0,0.5.0,
6_8.sol,^0.8.0,0.8.0,
8_7.sol,>=0.6.2,0.6.2,
12_3.sol,>=0.8.0,0.8.0,
10_1.sol,>=0.5.0,0.5.0,
8.sol,^0.8.0,0.8.0,
10_3.sol,^0.6.2,0.6.2,
12_1.sol,^0.8.0,0.8.0,
8_5.sol,^0.8.0,0.8.0,
4_8.sol,>=0.8.0,0.8.0,
4_9.sol,^0.8.0,0.8.0,
8_4.sol,^0.8.0,0.8.0,
10_2.sol,>=0.8.0,0.8.0,
9.sol,^0.8.0,0.8.0,
5_10.sol,>=0.5.0,0.5.0,
16_1.sol,>=0.5.0,0.5.0,
8_1.sol,^0.8.0,0.8.0,
10_5.sol,^0.8.0,0.8.0,
2_8.sol,^0.8,0.8,
14_1.sol,>=0.5.0,0.5.0,
8_3.sol,>=0.5.0,0.5.0,
8_2.sol,^0.8,0.8,
2_9.sol,^0.8.0,0.8.0,
10_4.sol,>=0.5.0,0.5.0,
12.sol,^0.8.0,0.8.0,
5_8.sol,^0.8,0.8,
1_15.sol,^0.5.3,0.5.3,
9_5.sol,>=0.5.0,0.5.0,
3_10.sol,^0.8.0,0.8.0,
13_1.sol,>=0.5.0,0.5.0,
11_3.sol,>=0.6.0,0.6.0,
11_2.sol,^0.6.0,0.6.0,
9_4.sol,^0.8.0,0.8.0,
1_14.sol,^0.8.0,0.8.0,
5_9.sol,^0.8.0,0.8.0,
13.sol,^0.8.0,0.8.0,
11.sol,^0.8.0,0.8.0,
9_6.sol,^0.8.0,0.8.0,
1_16.sol,0.8.13,0.8.13,
11_1.sol,^0.8.1,0.8.1,
7_8.sol,>=0.5.0,0.5.0,
1_17.sol,=0.6.12,0.6.12,
10.sol,^0.8.0,0.8.0,
14.sol,^0.8.0,0.8.0,
15_1.sol,>=0.6.2,0.6.2,
9_3.sol,^0.6.0,0.6.0,
1_13.sol,^0.8.0,0.8.0,
3_8.sol,>=0.8.0,0.8.0,
3_9.sol,^0.8.0,0.8.0,
11_4.sol,^0.8.1,0.8.1,
1_12.sol,=0.6.12,0.6.12,
9_2.sol,>=0.8.0,0.8.0,
15.sol,^0.8.0,0.8.0,
17.sol,^0.8.0,0.8.0,
1_10.sol,0.8.13,0.8.13,
1_9.sol,0.8.10,0.8.10,
1_8.sol,^0.8.4,0.8.4,
9_1.sol,^0.8.0,0.8.0,
1_11.sol,0.6.6,0.6.6,
16.sol,^0.8.0,0.8.0,
5_1.sol,^0.8.0,0.8.0,
1_20.sol,^0.8.0,0.8.0,
7_3.sol,>=0.5.0,0.5.0,
4_10.sol,>=0.5.0,0.5.0,
1_5.sol,0.6.12,0.6.12,
3_7.sol,^0.8.0,0.8.0,
3_6.sol,^0.8.0,0.8.0,
1_4.sol,0.8.10,0.8.10,
7_2.sol,^0.8.0,0.8.0,
18.sol,^0.8.0,0.8.0,
5_2.sol,^0.8.0,0.8.0,
1_6.sol,0.8.10,0.8.10,
3_4.sol,^0.8.0,0.8.0,
3_5.sol,^0.8.0,0.8.0,
1_7.sol,0.8.13,0.8.13,
7_1.sol,^0.8.0,0.8.0,
5_3.sol,^0.6.0,0.6.0,
5_7.sol,^0.8.0,0.8.0,
7_5.sol,^0.8.0,0.8.0,
1_3.sol,^0.8.0,0.8.0,
3_1.sol,^0.8.0,0.8.0,
1_2.sol,0.6.12,0.6.12,
7_4.sol,^0.8.0,0.8.0,
5_6.sol,^0.8.0,0.8.0,
5_4.sol,>=0.5.0,0.5.0,
6_10.sol,^0.8.0,0.8.0,
1_19.sol,>=0.5.0 <0.7.0,0.5.0,
7_6.sol,^0.8.0,0.8.0,
3_2.sol,^0.8.0,0.8.0,
3_3.sol,^0.6.0,0.6.0,
1_1.sol,0.8.13,0.8.13,
7_7.sol,^0.8.0,0.8.0,
1_18.sol,^0.8.0,0.8.0,
5_5.sol,^0.8.0,0.8.0,
2.sol,0.8.13,0.8.13,
2_4.sol,^0.8.0,0.8.0,
4_2.sol,^0.8.0,0.8.0,
4_3.sol,^0.6.0,0.6.0,
6_1.sol,^0.8.0,0.8.0,
2_5.sol,0.8.13,0.8.13,
3.sol,^0.8.0,0.8.0,
1.sol,0.6.12,0.6.12,
2_7.sol,^0.8.0,0.8.0,
6_3.sol,>=0.5.0,0.5.0,
4_1.sol,^0.8.0,0.8.0,
6_2.sol,^0.8.0,0.8.0,
2_6.sol,^0.8.0,0.8.0,
2_10.sol,^0.8.0,0.8.0,
4.sol,^0.8.0,0.8.0,
2_2.sol,^0.8.0,0.8.0,
6_6.sol,^0.8.0,0.8.0,
4_4.sol,^0.8.0,0.8.0,
4_5.sol,^0.8.0,0.8.0,
6_7.sol,^0.8.0,0.8.0,
8_8.sol,0.8.13,0.8.13,
2_3.sol,^0.6.0,0.6.0,
5.sol,^0.8.0,0.8.0,
7.sol,0.8.13,0.8.13,
2_1.sol,^0.8.0,0.8.0,
6_5.sol,0.8.13,0.8.13,
4_7.sol,^0.8.0,0.8.0,
4_6.sol,^0.8.0,0.8.0,
6_4.sol,0.8.10,0.8.10,
6.sol,^0.8.0,0.8.0,
