file,original pragma version,compiled version,notes
import.sol,^0.8.0,0.8.0,
Initializable.sol,^0.8.0,0.8.0,
IERC20.sol,^0.8.0,0.8.0,
RelayRecipientUpgradeable.sol,^0.8.0,0.8.0,
ERC20.sol,^0.8.0,0.8.0,
ProxyAdmin.sol,^0.8.0,0.8.0,
ERC20Burnable.sol,^0.8.0,0.8.0,
Pausable.sol,^0.8.0,0.8.0,
Counters.sol,^0.8.0,0.8.0,
MulticallRouter.sol,^0.8.0,0.8.0,
TransparentUpgradeableProxy.sol,^0.8.0,0.8.0,
IBeacon.sol,^0.8.0,0.8.0,
SafeERC20_1.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
draft-IERC20Permit_1.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.8.0,0.8.0,
Context_3.sol,^0.8.0,0.8.0,
SafeERC20_3.sol,^0.8.0,0.8.0,
MetaRouterGateway_1.sol,^0.8.0,0.8.0,
SafeERC20_2.sol,^0.8.0,0.8.0,
Context_2.sol,^0.8.0,0.8.0,
Address.sol,^0.8.0,0.8.0,
OwnableUpgradeable.sol,^0.8.0,0.8.0,
MetaRouteStructs.sol,^0.8.0,0.8.0,
Context_6.sol,^0.8.0,0.8.0,
ECDSA.sol,^0.8.0,0.8.0,
Context_7.sol,^0.8.0,0.8.0,
IMetaRouter.sol,^0.8.0,0.8.0,
IBridge.sol,^0.8.0,0.8.0,
TokenVesting.sol,0.8.7,0.8.7,
ContextUpgradeable.sol,^0.8.0,0.8.0,
Context_5.sol,^0.8.0,0.8.0,
SafeERC20_4.sol,^0.8.0,0.8.0,
StorageSlot.sol,^0.8.0,0.8.0,
Context_4.sol,^0.8.0,0.8.0,
Proxy.sol,^0.8.0,0.8.0,
Context_9.sol,^0.8.0,0.8.0,
RevertMessageParser_1.sol,^0.8.0,0.8.0,
TransferHelper_2.sol,>=0.6.0,0.6.0,
TransferHelper_3.sol,>=0.6.0,0.6.0,
Context_8.sol,^0.8.0,0.8.0,
Reservoir.sol,0.8.4,0.8.4,
TransferHelper_1.sol,>=0.6.0,0.6.0,
draft-EIP712.sol,^0.8.0,0.8.0,
IERC20Metadata.sol,^0.8.0,0.8.0,
RevertMessageParser.sol,^0.8.0,0.8.0,
SymbiosisTokenVesting.sol,0.8.7,0.8.7,
ERC1967Proxy.sol,^0.8.0,0.8.0,
ERC20VotesComp.sol,^0.8.0,0.8.0,
IWrapper.sol,^0.8.0,0.8.0,
MetaRouter.sol,^0.8.0,0.8.0,
MerkleProof.sol,^0.8.0,0.8.0,
MasterChef.sol,0.8.4,0.8.4,
Portal.sol,^0.8.0,0.8.0,
Context.sol,^0.8.0,0.8.0,
Math.sol,^0.8.0,0.8.0,
TransferHelper.sol,>=0.6.0,0.6.0,
ERC20Votes.sol,^0.8.0,0.8.0,
draft-ERC20Permit.sol,^0.8.0,0.8.0,
IERC20_4.sol,^0.8.0,0.8.0,
Ownable_3.sol,^0.8.0,0.8.0,
Ownable_2.sol,^0.8.0,0.8.0,
IERC20_5.sol,^0.8.0,0.8.0,
Proxiable.sol,^0.8.2,0.8.2,
IERC20_7.sol,^0.8.0,0.8.0,
Address_5.sol,^0.8.0,0.8.0,
MerkleDistributor.sol,0.8.4,0.8.4,
Ownable_1.sol,^0.8.0,0.8.0,
AngryBoarcats.sol,^0.8.0,0.8.0,
Address_4.sol,^0.8.0,0.8.0,
SafeCast.sol,^0.8.0,0.8.0,
IERC20_6.sol,^0.8.0,0.8.0,
Adminable.sol,0.8.4,0.8.4,
IERC20_2.sol,^0.8.0,0.8.0,
ERC1967Upgrade.sol,^0.8.2,0.8.2,
SymbiToken.sol,0.8.7,0.8.7,
Ownable_5.sol,^0.8.0,0.8.0,
Ownable_4.sol,^0.8.0,0.8.0,
Address_1.sol,^0.8.0,0.8.0,
IERC20_3.sol,^0.8.0,0.8.0,
AddressUpgradeable.sol,^0.8.0,0.8.0,
UUPSUpgradeable.sol,^0.8.0,0.8.0,
IReservoir.sol,0.8.4,0.8.4,
IERC20_1.sol,^0.8.0,0.8.0,
MetaRouterGateway.sol,^0.8.0,0.8.0,
Address_3.sol,^0.8.0,0.8.0,
MetaRouteStructs_1.sol,^0.8.0,0.8.0,
Ownable_6.sol,^0.8.0,0.8.0,
Address_2.sol,^0.8.0,0.8.0,
