file,original pragma version,compiled version,notes
Initializable.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable_1.sol,^0.8.0,0.8.0,
IAccessControlUpgradeable.sol,^0.8.0,0.8.0,
StringsUpgradeable_1.sol,^0.8.0,0.8.0,
AccessControlUpgradeable_1.sol,^0.8.0,0.8.0,
VOLTAGEv2.sol,^0.8.0,0.8.0,
IERC165Upgradeable.sol,^0.8.0,0.8.0,
IERC165Upgradeable_1.sol,^0.8.0,0.8.0,
ERC20Upgradeable.sol,^0.8.0,0.8.0,
MultiRewards.sol,0.5.17,0.5.17,
AccessControlEnumerableUpgradeable.sol,^0.8.0,0.8.0,
BridgeValidators.sol,0.4.24,0.4.24,
EternalStorageProxy.sol,0.4.24,0.4.24,
AccessControlUpgradeable.sol,^0.8.0,0.8.0,
PausableUpgradeable.sol,^0.8.0,0.8.0,
ContextUpgradeable.sol,^0.8.0,0.8.0,
ERC20PausableUpgradeable_1.sol,^0.8.0,0.8.0,
IERC20Upgradeable_1.sol,^0.8.0,0.8.0,
AccessControlEnumerableUpgradeable_1.sol,^0.8.0,0.8.0,
ForeignMultiAMBErc20ToErc677.sol,^0.4.24,0.4.24,
Staking_2.sol,^0.5.0,0.5.0,
ERC20BurnableUpgradeable.sol,^0.8.0,0.8.0,
ERC20BurnableUpgradeable_1.sol,^0.8.0,0.8.0,
VOLTAGE.sol,^0.8.0,0.8.0,
Staking_1.sol,^0.5.0,0.5.0,
ERC20PresetMinterPauserUpgradeable.sol,^0.8.0,0.8.0,
ERC20PresetMinterPauserUpgradeable_1.sol,^0.8.0,0.8.0,
ERC20Upgradeable_1.sol,^0.8.0,0.8.0,
ERC20PausableUpgradeable.sol,^0.8.0,0.8.0,
EnumerableSetUpgradeable_1.sol,^0.8.0,0.8.0,
StringsUpgradeable.sol,^0.8.0,0.8.0,
ForeignAMB.sol,0.4.24,0.4.24,
EnumerableSetUpgradeable.sol,^0.8.0,0.8.0,
ERC165Upgradeable.sol,^0.8.0,0.8.0,
IERC20MetadataUpgradeable.sol,^0.8.0,0.8.0,
Initializable_1.sol,^0.8.0,0.8.0,
ERC165Upgradeable_1.sol,^0.8.0,0.8.0,
IAccessControlEnumerableUpgradeable.sol,^0.8.0,0.8.0,
ContextUpgradeable_1.sol,^0.8.0,0.8.0,
TokenFactory.sol,^0.5.0,0.5.0,
PausableUpgradeable_1.sol,^0.8.0,0.8.0,
MultiRewards_1.sol,0.5.17,0.5.17,
IERC20Upgradeable.sol,^0.8.0,0.8.0,
Staking.sol,^0.5.0,0.5.0,
