file,original pragma version,compiled version,notes
StorageSlot_17.sol,^0.8.0,0.8.0,
Getters_2.sol,^0.8.0,0.8.0,
draft-IERC1822_1.sol,^0.8.0,0.8.0,
Address_16.sol,^0.6.2,0.6.2,
TokenImplementation_2.sol,^0.8.0,0.8.0,
BytesLib_15.sol,>=0.5.0 <0.7.0,0.5.0,
IWormhole_8.sol,^0.8.0,0.8.0,
Token_1.sol,^0.8.0,0.8.0,
ReentrancyGuard_4.sol,^0.8.0,0.8.0,
CircleIntegrationImplementation.sol,^0.8.19,0.8.19,
ERC1967Upgrade_8.sol,^0.8.2,0.8.2,
IERC721Metadata.sol,^0.8.0,0.8.0,
ERC1967Upgrade_9.sol,^0.8.2,0.8.2,
CircleIntegrationState.sol,^0.8.19,0.8.19,
ReentrancyGuard_5.sol,^0.6.0,0.6.0,
IWormhole_9.sol,^0.8.0,0.8.0,
BytesLib_14.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20.sol,^0.8.0,0.8.0,
Token.sol,^0.8.0,0.8.0,
TokenImplementation_3.sol,^0.8.0,0.8.0,
Address_17.sol,^0.8.0,0.8.0,
BridgeStructs_6.sol,^0.8.0,0.8.0,
StorageSlot_16.sol,^0.8.0,0.8.0,
StorageSlot_14.sol,^0.8.0,0.8.0,
BridgeStructs_4.sol,^0.8.0,0.8.0,
Getters_1.sol,^0.8.0,0.8.0,
Address_15.sol,^0.8.0,0.8.0,
TokenImplementation_1.sol,^0.8.0,0.8.0,
ReentrancyGuard.sol,^0.8.0,0.8.0,
Token_2.sol,^0.8.0,0.8.0,
Ownable_9.sol,^0.8.0,0.8.0,
Ownable_8.sol,^0.8.0,0.8.0,
Token_3.sol,^0.8.0,0.8.0,
Address_14.sol,^0.8.0,0.8.0,
BridgeStructs_5.sol,^0.8.0,0.8.0,
StorageSlot_15.sol,^0.8.0,0.8.0,
NFTBridgeGetters_1.sol,^0.8.0,0.8.0,
StorageSlot_11.sol,^0.8.0,0.8.0,
BridgeStructs_1.sol,^0.8.0,0.8.0,
Structs.sol,^0.8.0,0.8.0,
Address_10.sol,^0.8.1,0.8.1,
Proxy_8.sol,^0.8.0,0.8.0,
ICircleIntegration.sol,^0.8.19,0.8.19,
TokenImplementation_4.sol,^0.8.0,0.8.0,
draft-IERC1822.sol,^0.8.0,0.8.0,
BridgeStructs.sol,^0.8.0,0.8.0,
Address_9.sol,^0.8.0,0.8.0,
BytesLib_13.sol,>=0.8.0 <0.9.0,0.8.0,
ReentrancyGuard_2.sol,^0.8.0,0.8.0,
ERC20.sol,^0.6.0,0.6.0,
Token_6.sol,^0.8.0,0.8.0,
ReentrancyGuard_3.sol,^0.8.0,0.8.0,
BytesLib_12.sol,>=0.8.0 <0.9.0,0.8.0,
Address_8.sol,^0.8.0,0.8.0,
CircleIntegrationProxy.sol,^0.8.19,0.8.19,
NFTBridgeImplementation_1.sol,^0.8.0,0.8.0,
TokenImplementation_5.sol,^0.8.0,0.8.0,
Proxy_9.sol,^0.8.0,0.8.0,
Address_11.sol,^0.8.0,0.8.0,
StorageSlot_10.sol,^0.8.0,0.8.0,
NFTBridgeGetters_2.sol,^0.8.0,0.8.0,
StorageSlot_12.sol,^0.8.0,0.8.0,
BridgeStructs_2.sol,^0.8.0,0.8.0,
Address_13.sol,^0.8.0,0.8.0,
TokenImplementation_7.sol,^0.8.0,0.8.0,
IERC20_8.sol,^0.8.0,0.8.0,
IERC721Receiver.sol,^0.8.0,0.8.0,
BytesLib_10.sol,>=0.8.0 <0.9.0,0.8.0,
ReentrancyGuard_1.sol,^0.8.0,0.8.0,
Token_4.sol,^0.8.0,0.8.0,
IBeacon_18.sol,^0.8.0,0.8.0,
NFTBridgeGetters.sol,^0.8.0,0.8.0,
Token_5.sol,^0.8.0,0.8.0,
BytesLib_11.sol,>=0.8.0 <0.9.0,0.8.0,
IERC20_9.sol,^0.8.0,0.8.0,
NFTBridgeImplementation_2.sol,^0.8.0,0.8.0,
TokenImplementation_6.sol,^0.8.0,0.8.0,
IWormhole.sol,^0.8.0,0.8.0,
Address_12.sol,^0.8.0,0.8.0,
BridgeStructs_3.sol,^0.8.0,0.8.0,
StorageSlot_13.sol,^0.8.0,0.8.0,
NFTBridgeGetters_3.sol,^0.8.0,0.8.0,
BridgeImplementation.sol,^0.8.0,0.8.0,
StorageSlot_4.sol,^0.8.0,0.8.0,
BridgeGetters_4.sol,^0.8.0,0.8.0,
Structs_1.sol,^0.8.0,0.8.0,
Counters.sol,^0.8.0,0.8.0,
ITokenMinter.sol,^0.8.19,0.8.19,
CircleIntegrationStructs.sol,^0.8.19,0.8.19,
ERC165_2.sol,^0.8.0,0.8.0,
ERC1967Upgrade_13.sol,^0.8.2,0.8.2,
TokenState_4.sol,^0.8.0,0.8.0,
IERC721Receiver_4.sol,^0.8.0,0.8.0,
SafeMath_1.sol,^0.6.0,0.6.0,
IBeacon.sol,^0.8.0,0.8.0,
IERC721_1.sol,^0.8.0,0.8.0,
NFTBridgeState_3.sol,^0.8.0,0.8.0,
IBeacon_5.sol,^0.8.0,0.8.0,
BytesLib_7.sol,>=0.8.0 <0.9.0,0.8.0,
NFTBridgeImplementation.sol,^0.8.0,0.8.0,
BytesLib_6.sol,>=0.8.0 <0.9.0,0.8.0,
SafeERC20_1.sol,^0.8.0,0.8.0,
Ownable.sol,^0.8.0,0.8.0,
IBeacon_4.sol,^0.8.0,0.8.0,
Context_1.sol,^0.8.0,0.8.0,
NFTBridgeState_2.sol,^0.8.0,0.8.0,
TokenState_5.sol,^0.8.0,0.8.0,
ERC1967Upgrade_12.sol,^0.8.2,0.8.2,
ERC165_3.sol,^0.8.0,0.8.0,
draft-IERC20Permit.sol,^0.8.0,0.8.0,
StorageSlot_5.sol,^0.8.0,0.8.0,
BridgeGetters_5.sol,^0.8.0,0.8.0,
StorageSlot_7.sol,^0.8.0,0.8.0,
Structs_2.sol,^0.8.0,0.8.0,
BeaconProxy_9.sol,^0.8.0,0.8.0,
SafeERC20.sol,^0.8.0,0.8.0,
CircleIntegrationGovernance.sol,^0.8.19,0.8.19,
ERC165_1.sol,^0.8.0,0.8.0,
ERC1967Upgrade_10.sol,^0.8.2,0.8.2,
NFTBridgeSetup.sol,^0.8.0,0.8.0,
IERC721_2.sol,^0.8.0,0.8.0,
Context_3.sol,^0.8.0,0.8.0,
IBeacon_6.sol,^0.8.0,0.8.0,
SafeERC20_3.sol,^0.8.0,0.8.0,
BytesLib_4.sol,>=0.8.0 <0.9.0,0.8.0,
IERC721Metadata_4.sol,^0.8.0,0.8.0,
SafeERC20_2.sol,^0.8.0,0.8.0,
BytesLib_5.sol,>=0.8.0 <0.9.0,0.8.0,
IBeacon_7.sol,^0.8.0,0.8.0,
NFTBridgeState_1.sol,^0.8.0,0.8.0,
Context_2.sol,^0.8.0,0.8.0,
IERC721_3.sol,^0.8.0,0.8.0,
TokenState_6.sol,^0.8.0,0.8.0,
ERC1967Upgrade_11.sol,^0.8.2,0.8.2,
SafeMath.sol,^0.6.0,0.6.0,
BeaconProxy_8.sol,^0.8.0,0.8.0,
Structs_3.sol,^0.8.0,0.8.0,
BridgeGetters_6.sol,^0.8.0,0.8.0,
StorageSlot_6.sol,^0.8.0,0.8.0,
Structs_7.sol,^0.8.0,0.8.0,
NFTBridgeEntrypoint.sol,^0.8.0,0.8.0,
StorageSlot_2.sol,^0.8.0,0.8.0,
BridgeGetters_2.sol,^0.8.0,0.8.0,
NFTBridgeStructs_2.sol,^0.8.0,0.8.0,
Bridge.sol,^0.8.0,0.8.0,
Address.sol,^0.8.0,0.8.0,
GovernanceStructs.sol,^0.8.0,0.8.0,
ERC165_4.sol,^0.8.0,0.8.0,
ERC1967Upgrade_15.sol,^0.8.2,0.8.2,
IERC721Receiver_2.sol,^0.8.0,0.8.0,
TokenState_2.sol,^0.8.0,0.8.0,
IBeacon_3.sol,^0.8.0,0.8.0,
Context_6.sol,^0.8.0,0.8.0,
BytesLib_1.sol,>=0.8.0 <0.9.0,0.8.0,
IERC721Metadata_1.sol,^0.8.0,0.8.0,
SafeERC20_6.sol,^0.8.0,0.8.0,
SafeERC20_7.sol,^0.8.0,0.8.0,
ECDSA.sol,^0.8.0,0.8.0,
Context_7.sol,^0.8.0,0.8.0,
Governance.sol,^0.8.0,0.8.0,
IBeacon_2.sol,^0.8.0,0.8.0,
TokenState_3.sol,^0.8.0,0.8.0,
NFTBridgeState.sol,^0.8.0,0.8.0,
IERC721.sol,^0.8.0,0.8.0,
IERC721Receiver_3.sol,^0.8.0,0.8.0,
TokenImplementation.sol,^0.8.0,0.8.0,
BridgeImplementation_8.sol,^0.8.0,0.8.0,
ERC1967Upgrade_14.sol,^0.8.2,0.8.2,
NFTBridgeStructs_3.sol,^0.8.0,0.8.0,
StorageSlot_3.sol,^0.8.0,0.8.0,
BridgeGetters_3.sol,^0.8.0,0.8.0,
Structs_6.sol,^0.8.0,0.8.0,
Structs_4.sol,^0.8.0,0.8.0,
BridgeGetters_1.sol,^0.8.0,0.8.0,
StorageSlot_1.sol,^0.8.0,0.8.0,
NFTBridgeStructs_1.sol,^0.8.0,0.8.0,
ERC1967Upgrade_16.sol,^0.8.2,0.8.2,
IERC721Receiver_1.sol,^0.8.0,0.8.0,
IERC721_4.sol,^0.8.0,0.8.0,
TokenState_1.sol,^0.8.0,0.8.0,
Context_5.sol,^0.8.0,0.8.0,
BridgeState.sol,^0.8.0,0.8.0,
NFTBridgeSetters.sol,^0.8.0,0.8.0,
SafeERC20_5.sol,^0.8.0,0.8.0,
BytesLib_2.sol,>=0.8.0 <0.9.0,0.8.0,
IERC721Metadata_2.sol,^0.8.0,0.8.0,
NFT.sol,^0.8.0,0.8.0,
SafeERC20_4.sol,^0.8.0,0.8.0,
IERC721Metadata_3.sol,^0.8.0,0.8.0,
BytesLib_3.sol,>=0.8.0 <0.9.0,0.8.0,
StorageSlot.sol,^0.8.0,0.8.0,
Context_4.sol,^0.8.0,0.8.0,
IBeacon_1.sol,^0.8.0,0.8.0,
ERC1967Upgrade_17.sol,^0.8.2,0.8.2,
Structs_5.sol,^0.8.0,0.8.0,
Structs_8.sol,^0.8.0,0.8.0,
BeaconProxy_3.sol,^0.8.0,0.8.0,
TokenState.sol,^0.8.0,0.8.0,
Proxy.sol,^0.8.0,0.8.0,
BridgeState_4.sol,^0.8.0,0.8.0,
BridgeGovernance_1.sol,^0.8.0,0.8.0,
BridgeSetters_6.sol,^0.8.0,0.8.0,
BridgeImplementation_6.sol,^0.8.0,0.8.0,
NFTBridgeGovernance_1.sol,^0.8.0,0.8.0,
Context_9.sol,^0.8.0,0.8.0,
Implementation_1.sol,^0.8.0,0.8.0,
SafeERC20_9.sol,^0.8.0,0.8.0,
SafeERC20_8.sol,^0.8.0,0.8.0,
IMessageTransmitter.sol,^0.8.19,0.8.19,
Context_8.sol,^0.8.0,0.8.0,
BridgeImplementation_7.sol,^0.8.0,0.8.0,
IERC165_4.sol,^0.8.0,0.8.0,
BridgeState_5.sol,^0.8.0,0.8.0,
BeaconProxy_2.sol,^0.8.0,0.8.0,
ICircleBridge.sol,^0.8.19,0.8.19,
Structs_9.sol,^0.8.0,0.8.0,
BridgeGovernance_2.sol,^0.8.0,0.8.0,
BridgeSetters_5.sol,^0.8.0,0.8.0,
BridgeImplementation_5.sol,^0.8.0,0.8.0,
BeaconProxy_11.sol,^0.8.0,0.8.0,
NFTBridgeGovernance_2.sol,^0.8.0,0.8.0,
Implementation_2.sol,^0.8.0,0.8.0,
CircleIntegrationMessages.sol,^0.8.19,0.8.19,
Implementation.sol,^0.8.0,0.8.0,
NFTBridge.sol,^0.8.0,0.8.0,
NFTBridgeGovernance_3.sol,^0.8.0,0.8.0,
BridgeImplementation_4.sol,^0.8.0,0.8.0,
BeaconProxy_10.sol,^0.8.0,0.8.0,
ERC1967Upgrade_18.sol,^0.8.2,0.8.2,
BridgeSetters_4.sol,^0.8.0,0.8.0,
BridgeGovernance_3.sol,^0.8.0,0.8.0,
BridgeState_6.sol,^0.8.0,0.8.0,
BridgeSetters.sol,^0.8.0,0.8.0,
BeaconProxy_1.sol,^0.8.0,0.8.0,
Setters.sol,^0.8.0,0.8.0,
State_2.sol,^0.8.0,0.8.0,
BeaconProxy_5.sol,^0.8.0,0.8.0,
State.sol,^0.8.0,0.8.0,
IERC20_10.sol,^0.8.0,0.8.0,
ERC1967Proxy.sol,^0.8.0,0.8.0,
NFTState.sol,^0.8.0,0.8.0,
IERC165_3.sol,^0.8.0,0.8.0,
Structs_10.sol,^0.8.0,0.8.0,
BridgeState_2.sol,^0.8.0,0.8.0,
NFTImplementation.sol,^0.8.0,0.8.0,
ERC1967Proxy_1.sol,^0.8.0,0.8.0,
SafeERC20_10.sol,^0.8.0,0.8.0,
BytesLib_8.sol,>=0.8.0 <0.9.0,0.8.0,
NFT_3.sol,^0.8.0,0.8.0,
NFT_2.sol,^0.8.0,0.8.0,
BytesLib_9.sol,>=0.8.0 <0.9.0,0.8.0,
SafeERC20_11.sol,^0.8.0,0.8.0,
BridgeImplementation_1.sol,^0.8.0,0.8.0,
BridgeSetters_1.sol,^0.8.0,0.8.0,
Structs_11.sol,^0.8.0,0.8.0,
BridgeGovernance.sol,^0.8.0,0.8.0,
BridgeGovernance_6.sol,^0.8.0,0.8.0,
BridgeState_3.sol,^0.8.0,0.8.0,
IERC165_2.sol,^0.8.0,0.8.0,
IERC20_11.sol,^0.8.0,0.8.0,
BeaconProxy_4.sol,^0.8.0,0.8.0,
CircleIntegration.sol,^0.8.19,0.8.19,
State_1.sol,^0.8.0,0.8.0,
StorageSlot_8.sol,^0.8.0,0.8.0,
BeaconProxy_6.sol,^0.8.0,0.8.0,
IERC20_13.sol,^0.6.0,0.6.0,
BridgeState_1.sol,^0.8.0,0.8.0,
BridgeGovernance_4.sol,^0.8.0,0.8.0,
Structs_13.sol,^0.8.0,0.8.0,
CircleIntegrationGetters.sol,^0.8.19,0.8.19,
BridgeSetters_3.sol,^0.8.0,0.8.0,
BridgeImplementation_3.sol,^0.8.0,0.8.0,
ERC1967Proxy_2.sol,^0.8.0,0.8.0,
