file,original pragma version,compiled version,notes
AdminUpgradeabilityProxy.sol,^0.6.0,0.6.0,
Cfl365Staking.sol,>=0.6.2 <0.8.0,0.6.2,
PolytradeStaking.sol,>=0.6.2 <0.8.0,0.6.2,
ProxyAdmin_1.sol,^0.6.0,0.6.0,
ProxyAdmin.sol,^0.6.0,0.6.0,
Address.sol,>=0.6.2 <0.8.0,0.6.2,
Proxy.sol,^0.6.0,0.6.0,
PontoonStaking.sol,>=0.6.2 <0.8.0,0.6.2,
SporesStaking.sol,>=0.6.2 <0.8.0,0.6.2,
UpgradeabilityProxy_1.sol,^0.6.0,0.6.0,
ZeroSwapToken.sol,0.6.2,0.6.2,
UpgradeabilityProxy.sol,^0.6.0,0.6.0,
Proxy_1.sol,^0.6.0,0.6.0,
ZeroSwapTokenVesting.sol,0.6.2,0.6.2,
AdminUpgradeabilityProxy_1.sol,^0.6.0,0.6.0,
Address_1.sol,>=0.6.2 <0.8.0,0.6.2,
