file,original pragma version,compiled version,notes
IERC1155_3.sol,^0.7.0,0.7.0,
ERC721BridgeToken_2.sol,0.7.5,0.7.5,
ERC1155.sol,^0.7.0,0.7.0,
Initializable.sol,0.7.5,0.7.5,
IERC721Enumerable.sol,^0.7.0,0.7.0,
IOwnable.sol,0.7.5,0.7.5,
BasicNFTOmnibridge_1.sol,0.7.5,0.7.5,
BasicAMBMediator_2.sol,0.7.5,0.7.5,
NativeTokensRegistry.sol,0.7.5,0.7.5,
IERC721Metadata.sol,^0.7.0,0.7.0,
EternalStorage_2.sol,0.7.5,0.7.5,
BaseRelayer_2.sol,0.7.5,0.7.5,
ERC721BridgeToken_3.sol,0.7.5,0.7.5,
IERC1155_2.sol,^0.7.0,0.7.0,
TokenImageStorage_2.sol,0.7.5,0.7.5,
BridgedTokensRegistry_1.sol,0.7.5,0.7.5,
IERC1155MetadataURI_1.sol,^0.7.0,0.7.0,
IERC1155MetadataURI_3.sol,^0.7.0,0.7.0,
ERC721BridgeToken_1.sol,0.7.5,0.7.5,
IAMB.sol,0.7.5,0.7.5,
ReentrancyGuard.sol,0.7.5,0.7.5,
BasicAMBMediator_1.sol,0.7.5,0.7.5,
BasicNFTOmnibridge_2.sol,0.7.5,0.7.5,
EternalStorage_1.sol,0.7.5,0.7.5,
BaseRelayer_1.sol,0.7.5,0.7.5,
Upgradeable.sol,0.7.5,0.7.5,
NFTOmnibridgeInfo.sol,0.7.5,0.7.5,
IERC1155_1.sol,^0.7.0,0.7.0,
ERC1155BridgeToken.sol,0.7.5,0.7.5,
TokenImageStorage_1.sol,0.7.5,0.7.5,
BasicAMBMediator.sol,0.7.5,0.7.5,
BridgedTokensRegistry_2.sol,0.7.5,0.7.5,
IERC1155MetadataURI_2.sol,^0.7.0,0.7.0,
IUpgradeabilityOwnerStorage_1.sol,0.7.5,0.7.5,
GasLimitManager_2.sol,0.7.5,0.7.5,
ReentrancyGuard_2.sol,0.7.5,0.7.5,
ERC721Relayer.sol,0.7.5,0.7.5,
IBurnableMintableERC721Token_2.sol,0.7.5,0.7.5,
IBurnableMintableERC721Token_3.sol,0.7.5,0.7.5,
ForeignNFTOmnibridge_2.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token_1.sol,0.7.5,0.7.5,
ForeignBridgeErcToNative.sol,0.4.24,0.4.24,
Bytes_2.sol,0.7.5,0.7.5,
IERC1155Receiver.sol,^0.7.0,0.7.0,
VersionableBridge.sol,0.7.5,0.7.5,
IUpgradeabilityOwnerStorage_2.sol,0.7.5,0.7.5,
GasLimitManager_1.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token_3.sol,0.7.5,0.7.5,
NFTMediatorBalanceStorage.sol,0.7.5,0.7.5,
IERC721Receiver.sol,^0.7.0,0.7.0,
ReentrancyGuard_1.sol,0.7.5,0.7.5,
IBurnableMintableERC721Token_1.sol,0.7.5,0.7.5,
ForeignNFTOmnibridge_1.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token.sol,0.7.5,0.7.5,
IBurnableMintableERC1155Token_2.sol,0.7.5,0.7.5,
Bytes_1.sol,0.7.5,0.7.5,
IAMB_1.sol,0.7.5,0.7.5,
ERC165_2.sol,^0.7.0,0.7.0,
SafeMath_1.sol,^0.7.0,0.7.0,
IERC721_1.sol,^0.7.0,0.7.0,
ERC1155TokenProxy_1.sol,0.7.5,0.7.5,
Ownable.sol,0.7.5,0.7.5,
VersionableBridge_1.sol,0.7.5,0.7.5,
Context_1.sol,>=0.6.0 <0.8.0,0.6.0,
ERC165_3.sol,^0.7.0,0.7.0,
IERC1155.sol,^0.7.0,0.7.0,
ERC721TokenProxy_1.sol,0.7.5,0.7.5,
IAMB_2.sol,0.7.5,0.7.5,
MetadataReader.sol,0.7.5,0.7.5,
ERC165_1.sol,^0.7.0,0.7.0,
IERC721_2.sol,^0.7.0,0.7.0,
SafeMath_2.sol,^0.7.0,0.7.0,
Context_3.sol,>=0.6.0 <0.8.0,0.6.0,
MultiSigWallet.sol,^0.4.15,0.4.15,
ERC1155TokenProxy_2.sol,0.7.5,0.7.5,
VersionableBridge_2.sol,0.7.5,0.7.5,
Context_2.sol,>=0.6.0 <0.8.0,0.6.0,
SafeMath_3.sol,^0.7.0,0.7.0,
IERC721_3.sol,^0.7.0,0.7.0,
SafeMath.sol,^0.7.0,0.7.0,
BridgeValidators.sol,0.4.24,0.4.24,
EternalStorageProxy.sol,0.4.24,0.4.24,
EnumerableMap.sol,^0.7.0,0.7.0,
TokenImageStorage.sol,0.7.5,0.7.5,
ERC721TokenProxy_2.sol,0.7.5,0.7.5,
ForeignNFTOmnibridge.sol,0.7.5,0.7.5,
ERC721BridgeToken.sol,0.7.5,0.7.5,
NFTBridgeLimits_1.sol,0.7.5,0.7.5,
Address.sol,^0.7.0,0.7.0,
ERC165_4.sol,^0.7.0,0.7.0,
IERC721Receiver_2.sol,^0.7.0,0.7.0,
ERC721.sol,^0.7.0,0.7.0,
NFTMediatorBalanceStorage_2.sol,0.7.5,0.7.5,
IERC721Metadata_1.sol,^0.7.0,0.7.0,
ERC721Relayer_2.sol,0.7.5,0.7.5,
BridgedTokensRegistry.sol,0.7.5,0.7.5,
IERC721.sol,^0.7.0,0.7.0,
IERC721Receiver_3.sol,^0.7.0,0.7.0,
NFTOmnibridgeInfo_1.sol,0.7.5,0.7.5,
IERC1155TokenReceiver.sol,0.7.5,0.7.5,
NFTBridgeLimits_2.sol,0.7.5,0.7.5,
IERC721Receiver_1.sol,^0.7.0,0.7.0,
SafeMath_4.sol,^0.7.0,0.7.0,
WETHOmnibridgeRouter.sol,0.7.5,0.7.5,
IERC721Metadata_2.sol,^0.7.0,0.7.0,
NFTMediatorBalanceStorage_1.sol,0.7.5,0.7.5,
BasicNFTOmnibridge.sol,0.7.5,0.7.5,
IERC721Metadata_3.sol,^0.7.0,0.7.0,
ERC721Relayer_1.sol,0.7.5,0.7.5,
Context_4.sol,>=0.6.0 <0.8.0,0.6.0,
NFTOmnibridgeInfo_2.sol,0.7.5,0.7.5,
IERC1155TokenReceiver_2.sol,0.7.5,0.7.5,
Proxy.sol,0.7.5,0.7.5,
ForeignOmnibridge_2.sol,^0.7.0,0.7.0,
FailedMessagesProcessor_1.sol,0.7.5,0.7.5,
ForeignMultiAMBErc20ToErc677.sol,^0.4.24,0.4.24,
EnumerableSet_3.sol,^0.7.0,0.7.0,
IERC1155MetadataURI.sol,^0.7.0,0.7.0,
AAVEInterestERC20.sol,^0.7.0,0.7.0,
IOwnable_4.sol,0.7.5,0.7.5,
EnumerableSet_2.sol,^0.7.0,0.7.0,
Bytes.sol,0.7.5,0.7.5,
IERC165_4.sol,^0.7.0,0.7.0,
Upgradeable_1.sol,0.7.5,0.7.5,
NativeTokensRegistry_2.sol,0.7.5,0.7.5,
IERC1155TokenReceiver_1.sol,0.7.5,0.7.5,
ForeignOmnibridge_1.sol,^0.7.0,0.7.0,
EnumerableSet.sol,^0.7.0,0.7.0,
FailedMessagesProcessor_2.sol,0.7.5,0.7.5,
EternalStorageProxy_1.sol,0.4.24,0.4.24,
EnumerableSet_1.sol,^0.7.0,0.7.0,
ERC1155TokenProxy.sol,0.7.5,0.7.5,
Upgradeable_2.sol,0.7.5,0.7.5,
NativeTokensRegistry_1.sol,0.7.5,0.7.5,
IERC165_3.sol,^0.7.0,0.7.0,
EnumerableMap_3.sol,^0.7.0,0.7.0,
IOwnable_3.sol,0.7.5,0.7.5,
IOwnable_2.sol,0.7.5,0.7.5,
IUpgradeabilityOwnerStorage.sol,0.7.5,0.7.5,
EnumerableMap_2.sol,^0.7.0,0.7.0,
ERC721_1.sol,^0.7.0,0.7.0,
BridgeOperationsStorage.sol,0.7.5,0.7.5,
