file,original pragma version,compiled version,notes
EVMScriptRegistry_5.sol,0.4.24,0.4.24,
ExecutionTarget.sol,0.4.24,0.4.24,
TokenManagerHook.sol,0.4.24,0.4.24,
MiniMeToken.sol,^0.4.24,0.4.24,
IForwarder_3.sol,^0.4.24,0.4.24,
Initializable.sol,^0.4.24,0.4.24,
TimeHelpers_3.sol,^0.4.24,0.4.24,
ReentrancyGuard_4.sol,^0.4.24,0.4.24,
EVMScriptRegistryFactory.sol,0.4.24,0.4.24,
ReentrancyGuard_5.sol,^0.4.24,0.4.24,
TimeHelpers_2.sol,^0.4.24,0.4.24,
IForwarder_2.sol,^0.4.24,0.4.24,
DAOFactory_1.sol,0.4.24,0.4.24,
StandardToken.sol,^0.4.24,0.4.24,
TokenMock_4.sol,0.4.24,0.4.24,
EVMScriptRegistry_4.sol,0.4.24,0.4.24,
AppProxyBase_5.sol,0.4.24,0.4.24,
EthPnt.sol,^0.8.17,0.8.17,
IKernel_5.sol,^0.4.24,0.4.24,
DAOFactory_3.sol,0.4.24,0.4.24,
DepositableDelegateProxy_4.sol,0.4.24,0.4.24,
IForwarder.sol,^0.4.24,0.4.24,
ReentrancyGuard.sol,^0.4.24,0.4.24,
ScriptHelpers.sol,^0.4.24,0.4.24,
Petrifiable.sol,^0.4.24,0.4.24,
TimeHelpers_1.sol,^0.4.24,0.4.24,
DepositableDelegateProxy_5.sol,0.4.24,0.4.24,
draft-IERC20PermitUpgradeable.sol,^0.8.0,0.8.17,
DAOFactory_2.sol,0.4.24,0.4.24,
IForwarder_1.sol,^0.4.24,0.4.24,
IKernel_4.sol,^0.4.24,0.4.24,
AppProxyBase_4.sol,0.4.24,0.4.24,
TimeHelpersMock.sol,^0.4.24,0.4.24,
KernelStorage.sol,0.4.24,0.4.24,
AppProxyFactory.sol,0.4.24,0.4.24,
TokenMock_3.sol,0.4.24,0.4.24,
EVMScriptRegistry_3.sol,0.4.24,0.4.24,
IForwarder_5.sol,^0.4.24,0.4.24,
IACL.sol,^0.4.24,0.4.24,
DepositableDelegateProxy_1.sol,0.4.24,0.4.24,
TimeHelpers_5.sol,^0.4.24,0.4.24,
AppProxyPinned.sol,0.4.24,0.4.24,
DandelionVoting.sol,0.4.24,0.4.24,
ReentrancyGuard_2.sol,^0.4.24,0.4.24,
ERC20.sol,^0.4.24,0.4.24,
ReentrancyGuard_3.sol,^0.4.24,0.4.24,
TimeHelpers_4.sol,^0.4.24,0.4.24,
APMRegistry.sol,0.4.24,0.4.24,
IForwarder_4.sol,^0.4.24,0.4.24,
Steroids.sol,^0.4.24,0.4.24,
IKernel_1.sol,^0.4.24,0.4.24,
EVMScriptRegistry_2.sol,0.4.24,0.4.24,
TokenMock_2.sol,0.4.24,0.4.24,
AppProxyBase_1.sol,0.4.24,0.4.24,
AragonApp.sol,^0.4.24,0.4.24,
VotingRewards.sol,^0.4.24,0.4.24,
Repo_1.sol,0.4.24,0.4.24,
AppProxyBase_3.sol,0.4.24,0.4.24,
IVaultRecoverable.sol,^0.4.24,0.4.24,
IKernel_3.sol,^0.4.24,0.4.24,
DAOFactory_5.sol,0.4.24,0.4.24,
IEVMScriptExecutor.sol,^0.4.24,0.4.24,
DepositableDelegateProxy_2.sol,0.4.24,0.4.24,
ReentrancyGuard_1.sol,^0.4.24,0.4.24,
DepositableDelegateProxy_3.sol,0.4.24,0.4.24,
