bridge,file,function,notes
LiFinance20220320,DiamondCutFacet.sol,"diamondCut((address,uint8,bytes4[])[],address,bytes)",unchecked function arguments
MeterPassPort20220206,EMTRGV1.sol,"approve(address,uint256)",unchecked `amount`
MeterPassPort20220206,EMTRGV1.sol,"transfer(address,uint256)",unchecked `amount`
MeterPassPort20220206,EMTRGV1.sol,"decreaseAllowance(address,uint256)",unchecked `amount`
MeterPassPort20220206,EMTRGV1.sol,burn(uint256),unchecked `amount`
MeterPassPort20220206,EMTRGV1.sol,"transferFrom(address,address,uint256)",unchecked `amount`
MeterPassPort20220206,EMTRGV1.sol,"initialize(uint256,address)",unchecked `initAmount`
MeterPassPort20220206,EMTRGV1.sol,"increaseAllowance(address,uint256)",unchecked `amount`
MeterPassPort20220206,EMTRG.sol,"initialize(uint256,address)",unchecked `initAmount`
Multichain20220118,AnyswapV4CallProxy.sol,"anyCall(address,bytes,address,uint256)",unchecked function arguments
Multichain20220118,AnyswapV4CallProxy.sol,deposit(address),unchecked function arguments
Multichain20220118,AnyswapV4CallProxy.sol,withdraw(uint256),unchecked function arguments
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,"addWhitelist(address,address[])",unchecked `_whitelist`
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,"anyCall(address,bytes,address,uint256,uint256)",unchecked function arguments
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,deposit(address),unchecked function arguments
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,"removeWhitelist(address,address[])",unchecked `_whitelist`
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,"retryExec(bytes32,address,uint256,uint256)",unchecked function arguments
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,tidyHistoryWhitelist(string),unchecked function arguments
Multichain20220118,AnyswapV6CallProxy-AllowCallback.sol,"updateAppConfig(address,address,uint256,address[])",unchecked `_flags`
Multichain20220118,AnyswapV6CallProxy.sol,"addWhitelist(address,address[])",unchecked `_whitelist`
Multichain20220118,AnyswapV6CallProxy.sol,"anyCall(address,bytes,address,uint256,uint256)","unchecked `_to`, `_toChainID`, `_data`"
Multichain20220118,AnyswapV6CallProxy.sol,deposit(address),unchecked function arguments
Multichain20220118,AnyswapV6CallProxy.sol,"removeWhitelist(address,address[])",unchecked `_whitelist`
Multichain20220118,AnyswapV6CallProxy.sol,"retryExec(bytes32,address,uint256,uint256)",unchecked function arguments
Multichain20220118,AnyswapV6CallProxy.sol,tidyHistoryWhitelist(string),unchecked function arguments
Multichain20220118,AnyswapV6CallProxy.sol,"updateAppConfig(address,address,uint256,address[])",unchecked `_flags`
Multichain20220118,AnyswapV6CallProxy.sol,withdraw(uint256),unchecked function arguments
Multichain20220118,AnyswapV6ERC20_2.sol,"approve(address,uint256)",unchecked function arguments
Multichain20220118,AnyswapV6ERC20_2.sol,"approveAndCall(address,uint256,bytes)",unchecked function arguments
Multichain20220118,AnyswapV6ERC20_2.sol,"deposit(uint256,address)",unchecked function arguments
Multichain20220118,AnyswapV6ERC20_2.sol,deposit(uint256),unchecked function arguments
Multichain20220118,AnyswapV6ERC20_2.sol,"Swapout(uint256,address)","it calls `_burn()`, unchecked function arguments"
Multichain20220118,AnyswapV6ERC20_2.sol,"transferWithPermit(address,address,uint256,uint256,uint8,bytes32,bytes32)","it calls `verifyEIP712()` and `verifyPersonalSign()`, unchecked function arguments"
Multichain20220118,AnyswapV6ERC20_2.sol,withdraw(uint256),"it calls `_burn()`, unchecked function arguments"
Multichain20230215,AnyswapV4CallProxy.sol,"anyCall(address,bytes,address,uint256)",unchecked function arguments
Multichain20230215,AnyswapV4CallProxy.sol,deposit(address),unchecked function arguments
Multichain20230215,AnyswapV4CallProxy.sol,withdraw(uint256),unchecked function arguments
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,"addWhitelist(address,address[])",unchecked `_whitelist`
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,"anyCall(address,bytes,address,uint256,uint256)",unchecked function arguments
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,deposit(address),unchecked function arguments
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,"removeWhitelist(address,address[])",unchecked `_whitelist`
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,"retryExec(bytes32,address,uint256,uint256)",unchecked function arguments
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,tidyHistoryWhitelist(string),unchecked function arguments
Multichain20230215,AnyswapV6CallProxy-AllowCallback.sol,"updateAppConfig(address,address,uint256,address[])",unchecked `_flags`
Multichain20230215,AnyswapV6CallProxy.sol,"addWhitelist(address,address[])",unchecked `_whitelist`
Multichain20230215,AnyswapV6CallProxy.sol,"anyCall(address,bytes,address,uint256,uint256)","unchecked `_to`, `_toChainID`, `_data`"
