file,original pragma version,compiled version,notes
1.sol,^0.4.19,0.4.19,
2.sol,^0.4.19,0.4.19,
3.sol,^0.4.19,0.4.19,
4.sol,^0.4.19,0.4.19,
5.sol,^0.4.19,0.4.19,
6.sol,^0.4.19,0.4.19,
7.sol,^0.4.25,0.4.25,
8.sol,^0.4.19,0.4.19,
9.sol,^0.4.25,0.4.25,
10.sol,^0.4.19,0.4.19,
11.sol,^0.4.25,0.4.25,
12.sol,^0.4.19,0.4.19,
13.sol,^0.4.19,0.4.19,
14.sol,^0.4.19,0.4.19,
15.sol,^0.4.19,0.4.19,
16.sol,^0.4.19,0.4.19,
17.sol,^0.4.19,0.4.19,
18.sol,^0.4.19,0.4.19,
19.sol,^0.4.25,0.4.25,
20.sol,^0.4.25,0.4.25,
21.sol,^0.4.0,0.4.0,
22.sol,^0.4.0,0.4.10,require was introduced in 0.4.10
23.sol,^0.4.24,0.4.24,
24.sol,^0.4.18,0.4.18,
25.sol,^0.4.0,0.4.24,multiple return value assignment from a function was available from 0.4.24
26.sol,^0.4.0,0.4.24,multiple return value assignment from a function was available from 0.4.24
27.sol,^0.4.19,0.4.19,
28.sol,^0.5.0,0.5.0,
29.sol,^0.4.15,0.4.15,
30.sol,^0.4.2,0.4.2,
31.sol,^0.4.23,0.4.23,
