Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0xf687973a18915962acac67570ca267f45d875604, 900, 72, 72, 0, 0, 72, 0, 1, 1.0, 55557, ss: 128 sss: 200 
0x89682e5F9bf69C909FC5E21a06495ac35E3671Ab, 2414, 175, 172, 0, 3, 175, 0, 0, 1.0, 55334, ss: 128 sss: 200 
0xC0A152d0c78D335257F4cCd474213a702096d911, 1775, 146, 136, 10, 0, 146, 0, 1, 1.0, 14521, ss: 128 sss: 200 
0xa39c5d7b7c0bf22830cd3da207712acaf5d3cbb7, 2792, 239, 231, 1, 7, 239, 0, 1, 1.0, 257419, ss: 128 sss: 200 
0x4822D77A2D328115C4edEbe1c82F313b28f8c315, 882, 61, 61, 0, 0, 61, 0, 0, 1.0, 98999, ss: 128 sss: 200 
0xe591293151fFDadD5E06487087D9b0E2743de92E, 1123, 99, 98, 1, 0, 99, 0, 1, 1.0, 469864, ss: 128 sss: 200 
0xb3d1E37784c884c197fB4a94D23b669620cae4c6, 2281, 215, 212, 3, 0, 215, 0, 0, 1.0, 480595, ss: 128 sss: 200 
0xc1024ef7448186d4792d7dec5497fe8d4241687c, 2017, 166, 160, 6, 0, 166, 0, 1, 1.0, 531849, ss: 128 sss: 200 
0x1ec364CDD9697F56B8CB17a745B98C2b862CBE29, 2155, 146, 143, 0, 3, 146, 0, 0, 1.0, 104829, ss: 128 sss: 200 
0xD846AA34caEf083DC4797d75096F60b6E08B7418, 1941, 138, 136, 2, 0, 138, 0, 0, 1.0, 102734, ss: 128 sss: 200 
0xe3692b2E55Eb2494cA73610c3b027F53815CCD39, 1557, 120, 112, 8, 0, 120, 0, 1, 1.0, 116965, ss: 128 sss: 200 
0x1991a5BfCC94269E7ADc1363B606535d52e34B50, 2155, 164, 148, 16, 0, 164, 0, 1, 1.0, 66062, ss: 128 sss: 200 
0x5f24E4a1A1f134a5a6952A9965721E6344898497, 2513, 175, 172, 3, 0, 175, 0, 0, 1.0, 77597, ss: 128 sss: 200 
0x832d62eeb4e644e4492b44aa023c20e237bfebbb, 2792, 239, 231, 1, 7, 239, 0, 1, 1.0, 240965, ss: 128 sss: 200 
0x16da19dbbff11467abc3f4a2e705d7cb77643526, 1772, 137, 125, 12, 0, 137, 0, 1, 1.0, 140411, ss: 128 sss: 200 
0xb6fca2e2837b87060b30672da71e1bbec0dc774b, 2798, 239, 231, 1, 7, 239, 0, 1, 1.0, 200310, ss: 128 sss: 200 
0xEF75e83633E686D3085b3a988b937D021e2fA628, 2203, 151, 148, 3, 0, 151, 0, 0, 1.0, 213368, ss: 128 sss: 200 
0xC27EEc1c192500DaA517D491f673eD81008a8c0b, 2174, 170, 152, 18, 0, 170, 0, 1, 1.0, 559451, ss: 128 sss: 200 
