Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0xd3c474b0012fffc87d9ea1ab56fbe260ce240bad, 1520, 107, 104, 3, 0, 107, 0, 0, 1.0, 9300, ss: 17 sss: 32 
0xF9D2ec4b9b44B141097489CBf00C59c974c49238, 2204, 163, 150, 13, 0, 163, 0, 0, 1.0, 6934, ss: 17 sss: 32 
0x1ca02e3862da25648ef85191414773b71176a82b, 1517, 108, 104, 4, 0, 108, 0, 0, 1.0, 9470, ss: 17 sss: 32 
0xed881fdc86fd928c48f199ac0d4f95e104011611, 2044, 190, 157, 33, 0, 190, 0, 0, 1.0, 7012, ss: 17 sss: 32 
0xa09a3e90da9574a43d35b893277ed6b3df79e88f, 2038, 151, 150, 1, 0, 151, 0, 0, 1.0, 25444, ss: 17 sss: 32 
0x9C1E6d460426a5e5355B337F67B5e4ffE916765E, 2392, 211, 204, 3, 1, 208, 3, 0, 0.985781990521327, 42119, ss: 17 sss: 32 
0x411eB08eD51086C23e7842C25B5006b598dC7D48, 2389, 229, 207, 22, 0, 229, 0, 0, 1.0, 30170, ss: 17 sss: 32 
0x1ec364CDD9697F56B8CB17a745B98C2b862CBE29, 2155, 146, 136, 2, 7, 145, 1, 0, 0.9931506849315068, 13007, ss: 17 sss: 32 
0x88b0d61be1092a0aed7d5d0393246a242c5899f6, 961, 83, 83, 0, 0, 83, 0, 0, 1.0, 12226, ss: 17 sss: 32 
0x1132490e28b2a398ed79e2e57238ea91957e1da7, 1596, 108, 106, 2, 0, 108, 0, 0, 1.0, 19760, ss: 17 sss: 32 
0xdc597a5fd1f90d2b529c7862f3eab5cbad2c6ce2, 207, 22, 22, 0, 0, 22, 0, 0, 1.0, 194, ss: 17 sss: 32 
0x1a374e8e1fd02a1ce0fb9bc4f58cde7bbab41ebe, 2428, 226, 200, 26, 0, 226, 0, 0, 1.0, 18457, ss: 17 sss: 32 
0x3311ad94f1bb66a78dd073b3c7fad6619c551e01, 1789, 151, 139, 12, 0, 151, 0, 0, 1.0, 2274, ss: 17 sss: 32 
0x967a66a88a3b12224dd3ea520ee3b7e332da9dae, 1515, 107, 104, 3, 0, 107, 0, 0, 1.0, 6491, ss: 17 sss: 32 
0x024084d60a5fE572620aE9CE3178471F8fEEFfD2, 2513, 251, 214, 37, 0, 251, 0, 0, 1.0, 3408, ss: 17 sss: 32 
0xc1024ef7448186d4792d7dec5497fe8d4241687c, 2017, 166, 156, 10, 0, 166, 0, 1, 1.0, 3957, ss: 17 sss: 32 
0xec64111A09AB3FD98dE13A6DB322ebff95D3414D, 2960, 213, 207, 6, 0, 213, 0, 0, 1.0, 45200, ss: 17 sss: 32 
0x8e693413d05ce5f7733b1a4b003af607e86ac5ba, 2376, 208, 174, 34, 0, 208, 0, 0, 1.0, 7906, ss: 17 sss: 32 
0xa57019c911cf94ed52baba1a943876eebc659499, 1512, 107, 104, 3, 0, 107, 0, 0, 1.0, 3723, ss: 17 sss: 32 
0x6f565d3bc1fbead0fb3521fcaa908471b24f7070, 1517, 107, 104, 3, 0, 107, 0, 0, 1.0, 5103, ss: 17 sss: 32 
0x149fd5d3db341277b7d1821b744996bf0077e5ed, 2444, 179, 178, 1, 0, 179, 0, 0, 1.0, 40226, ss: 17 sss: 32 
0xa54d90d8132edef66599196fbc4f1b95702508bf, 536, 40, 40, 0, 0, 40, 0, 0, 1.0, 196, ss: 17 sss: 32 
0x0eb120655aa35a255d6db4fc8ff9456cddb56e27, 1518, 107, 104, 3, 0, 107, 0, 0, 1.0, 4291, ss: 17 sss: 32 
0x2bdcd30f19a1c6199533d713d900b0949c3a8649, 1583, 108, 106, 2, 0, 108, 0, 0, 1.0, 17996, ss: 17 sss: 32 
0x38c48c3d8d88c17281462e39192615cdc25fe630, 250, 18, 18, 0, 0, 18, 0, 0, 1.0, 1720, ss: 17 sss: 32 
0x3b706073f3f1ad22a900e713e49180b02b99ac65, 1515, 107, 104, 3, 0, 107, 0, 0, 1.0, 6102, ss: 17 sss: 32 
0x1003ea3d5b46cc7c34f41a9c5128761cc60abf00, 2422, 226, 200, 26, 0, 226, 0, 0, 1.0, 13023, ss: 17 sss: 32 
0x9d99fFb4b2889A96bea82e360e264e29A17f60C6, 2931, 273, 229, 44, 0, 273, 0, 0, 1.0, 33092, ss: 17 sss: 32 
0x3B115AbA8D09d18dc80b0CA9fDC925BdF3606A5d, 2826, 262, 231, 31, 0, 262, 0, 0, 1.0, 13739, ss: 17 sss: 32 
