Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x11d6d434fdff93bfc3a1e9c2923e669939fff73e, 705, 72, 59, 13, 0, 72, 0, 0, 1.0, 1201, ss: 17 sss: 32 
0xd9414d611de1940762d6a56824f263f4241e8879, 1526, 107, 104, 0, 3, 107, 0, 0, 1.0, 6617, ss: 17 sss: 32 
0x608b9e7acd60732a4508871e76fb68fed4745909, 2135, 174, 142, 1, 31, 174, 0, 0, 1.0, 6402, ss: 17 sss: 32 
0x01eff4e664a806e4b641a60bd4bbd04b4d090e89, 1344, 94, 92, 0, 2, 94, 0, 0, 1.0, 12188, ss: 17 sss: 32 
0x185842355304ad4931100f24c0315293296c5392, 1550, 103, 103, 0, 0, 103, 0, 0, 1.0, 13977, ss: 17 sss: 32 
0x1ef14c4afbd73b2faf8a1f1bc31f088d4ce1d548, 608, 23, 23, 0, 0, 23, 0, 0, 1.0, 175, ss: 17 sss: 32 
0x8aa83bef9ef503d72be1c23c8c789f83b03ca32e, 2958, 276, 235, 1, 40, 276, 0, 0, 1.0, 26690, ss: 17 sss: 32 
0x1b1ba0a337a526987f97c9c42365f0358aa97cad, 1332, 94, 92, 0, 2, 94, 0, 0, 1.0, 10322, ss: 17 sss: 32 
0xe453c05fccf09e79e1c19bb416dbe4bd2be6e293, 1776, 140, 139, 0, 1, 140, 0, 0, 1.0, 18485, ss: 17 sss: 32 
0xbc9D05517c10b14B241B6bB1c1149E337Fd80e4B, 645, 58, 58, 0, 0, 58, 0, 0, 1.0, 1509, ss: 17 sss: 32 
0xe845fa17197296165d1ecd7c170db2fb11b5976f, 1523, 107, 104, 0, 3, 107, 0, 0, 1.0, 3059, ss: 17 sss: 32 
0x1e9707b33f3bedffec86378ed543666b9adb1915, 2973, 256, 212, 2, 42, 256, 0, 0, 1.0, 20259, ss: 17 sss: 32 
0xa7ac2dfcc71b0b8b75fb9e16448949d97fe513ae, 1516, 107, 104, 0, 3, 107, 0, 0, 1.0, 2616, ss: 17 sss: 32 
0xe824ee9cecd266c368f2e02bffd3c3821e6f88e1, 1528, 108, 104, 0, 4, 108, 0, 0, 1.0, 4642, ss: 17 sss: 32 
0xb71b367e4d4a610d7339b216339bb77d7414075a, 1531, 107, 104, 0, 3, 107, 0, 0, 1.0, 4618, ss: 17 sss: 32 
0xb5E563654CaB985CA323E496c8ca47f498B129d5, 2160, 175, 172, 1, 2, 175, 0, 0, 1.0, 12552, ss: 17 sss: 32 
0xF0A3c2D4E81ACcc8e3Ac3aCCd50F5294601f88Cf, 2525, 115, 110, 5, 0, 115, 0, 0, 1.0, 27610, ss: 17 sss: 32 
0xe7db0c55c8a6d7d5c21696dd41570e344f0bfd63, 1829, 89, 88, 1, 0, 89, 0, 0, 1.0, 1983, ss: 17 sss: 32 
0xb25ed10bfc10fa5e58ca6b46b5cb9bc8fbbe6d36, 1337, 94, 92, 0, 2, 94, 0, 0, 1.0, 9767, ss: 17 sss: 32 
0xe3b07168cf4e33f1ba1bb8bacb801416aa21886b, 1604, 110, 109, 1, 0, 110, 0, 0, 1.0, 9347, ss: 17 sss: 32 
0x67dc13caa15fac1630906b0764171fa4c0cf4f86, 1498, 110, 109, 1, 0, 110, 0, 0, 1.0, 9456, ss: 17 sss: 32 
0x6aea5a7ce50fb7d6dd362bf34080adf08c9c4956, 1512, 107, 104, 0, 3, 107, 0, 0, 1.0, 2177, ss: 17 sss: 32 
0x74089e73a22e86a4be57043b9819f7b9c9793667, 1511, 107, 104, 0, 3, 107, 0, 0, 1.0, 3105, ss: 17 sss: 32 
0xde6e1F680C4816446C8D515989E2358636A38b04, 730, 52, 48, 4, 0, 52, 0, 0, 1.0, 254, ss: 17 sss: 32 
0x40e8cb1d4287dd6efc7eb9aa8c57061e98a1afa7, 1522, 108, 104, 0, 4, 108, 0, 0, 1.0, 2500, ss: 17 sss: 32 
0xfc97a0eec83017fd3b17e8eaa67850d5c2a4148a, 1512, 108, 104, 0, 4, 108, 0, 0, 1.0, 1936, ss: 17 sss: 32 
0xb850e6a3349d6f0de9647b5c3debf32fd0b92dc6, 2945, 275, 235, 1, 39, 275, 0, 0, 1.0, 21711, ss: 17 sss: 32 
0x7c21c4bbd63d05fa9f788e38d14e18fc52e9557b, 361, 45, 42, 0, 2, 44, 1, 0, 0.9777777777777777, 168, ss: 17 sss: 32 
0xC0A152d0c78D335257F4cCd474213a702096d911, 1775, 146, 136, 10, 0, 146, 0, 1, 1.0, 2820, ss: 17 sss: 32 
0xf9f637447182ec98551a72eeb3d97021c3b050fa, 1531, 107, 104, 0, 3, 107, 0, 0, 1.0, 2456, ss: 17 sss: 32 
0x8b9598766bc6e1c503c1562ba64636f7c1e9b57c, 1980, 166, 131, 35, 0, 166, 0, 0, 1.0, 576, ss: 17 sss: 32 
0x525574c899a7c877a11865339e57376092168258, 2465, 177, 169, 3, 5, 177, 0, 0, 1.0, 9840, ss: 17 sss: 32 
0x1223e833d7e86b526606a8f5d88206ea3a8dbaec, 2972, 300, 251, 0, 47, 298, 2, 0, 0.9933333333333333, 3434, ss: 17 sss: 32 
0x5c94EDdfCb674917A049a21B59cD348029649B29, 2331, 203, 166, 1, 36, 203, 0, 0, 1.0, 10840, ss: 17 sss: 32 
0x09cbe5a551a1a7b5f51c123568b5e667c84659a1, 1617, 115, 113, 1, 1, 115, 0, 0, 1.0, 12315, ss: 17 sss: 32 
0xd3bd47d109fabe717dea185b9f337b258cf0eec7, 1596, 110, 109, 1, 0, 110, 0, 0, 1.0, 13064, ss: 17 sss: 32 
0xffb83d339b71588dc616d77a0e3493e122bde73f, 1918, 171, 143, 1, 27, 171, 0, 0, 1.0, 3754, ss: 17 sss: 32 
0x960b068dbaf5348d1303e8ac51f56636e481146f, 636, 53, 49, 4, 0, 53, 0, 0, 1.0, 229, ss: 17 sss: 32 
0x89682e5F9bf69C909FC5E21a06495ac35E3671Ab, 2414, 175, 166, 2, 6, 174, 1, 0, 0.9942857142857143, 3199, ss: 17 sss: 32 
0x8c13581ad0473869e0833a65d67b3912de1017ff, 1514, 110, 109, 1, 0, 110, 0, 0, 1.0, 6082, ss: 17 sss: 32 
0x193B1B260EDb120b9CF5F4964d6Eac9231340ae6, 2640, 228, 185, 2, 41, 228, 0, 0, 1.0, 16526, ss: 17 sss: 32 
0xd153b128462d08b1beda69f35e000873a5d52251, 2765, 263, 216, 1, 46, 263, 0, 0, 1.0, 6746, ss: 17 sss: 32 
0x0ed0881280ca6141974c9604b75d994c6fd92ef8, 1273, 98, 97, 1, 0, 98, 0, 0, 1.0, 6734, ss: 17 sss: 32 
0x9bD6fb872fD67d764b96c87F009a1b14D8F74CfD, 2961, 275, 235, 1, 39, 275, 0, 0, 1.0, 19827, ss: 17 sss: 32 
0x2bd6e4c0a276accf63dffd3de274f2559b9c4f45, 1518, 107, 104, 0, 3, 107, 0, 0, 1.0, 2872, ss: 17 sss: 32 
0xdfbaaea75007853f7cfb744a115250ce77263e57, 1510, 107, 104, 0, 3, 107, 0, 0, 1.0, 1879, ss: 17 sss: 32 
0x722AFCba56DF772C802E796724D9961e2D1D4403, 2935, 273, 229, 1, 43, 273, 0, 0, 1.0, 12709, ss: 17 sss: 32 
0x09D85676cbEe4fF1A521e2b8b907Dc82F0dcDb2D, 1425, 125, 119, 6, 0, 125, 0, 0, 1.0, 8541, ss: 17 sss: 32 
0xbf0909abfcc0e48875da07bc26fa2a83a6ab8ec1, 1584, 128, 121, 1, 6, 128, 0, 1, 1.0, 5162, ss: 17 sss: 32 
0x13aa2565955527d20a0dd40970bc77a0a2843cfa, 1745, 139, 136, 0, 3, 139, 0, 0, 1.0, 15746, ss: 17 sss: 32 
0x78a8c252532ba507dd05b111ece88d615f588fd6, 1523, 107, 104, 0, 3, 107, 0, 0, 1.0, 2629, ss: 17 sss: 32 
0x89b607bdb24af5127f2ef0e15583aebaaf2d6808, 1585, 108, 107, 1, 0, 108, 0, 0, 1.0, 11335, ss: 17 sss: 32 
0xBE8dC1e6A01766432EFEF761bb8115B0EdFfdaA3, 2957, 275, 235, 1, 39, 275, 0, 0, 1.0, 25383, ss: 17 sss: 32 
0x8de4303cf1452815c5b274015a4032a59dd307e6, 2419, 203, 194, 1, 8, 203, 0, 1, 1.0, 7447, ss: 17 sss: 32 
0xcd3623c0a765b1a44cc1e2feedeb4bde34eae636, 1899, 147, 146, 1, 0, 147, 0, 0, 1.0, 9681, ss: 17 sss: 32 
0xfc1effb415e5fb6115f82b1788ad36e34599035b, 2152, 197, 175, 1, 21, 197, 0, 0, 1.0, 9031, ss: 17 sss: 32 
0xc8bc736db70f337483177dc80d747e8cabb53b82, 2859, 247, 211, 1, 35, 247, 0, 0, 1.0, 6037, ss: 17 sss: 32 
0x0ea12fd4fb1d8c4c0936395deceb34f6838e2ba4, 1511, 107, 104, 0, 3, 107, 0, 0, 1.0, 2484, ss: 17 sss: 32 
0xeb79563d45fb4a0a0513b9d4dec3944aaf53ac20, 1227, 87, 87, 0, 0, 87, 0, 0, 1.0, 3964, ss: 17 sss: 32 
0xe969316df156031965b6974078d4da03c5a967c7, 2429, 226, 200, 1, 25, 226, 0, 0, 1.0, 7010, ss: 17 sss: 32 
0x685d4cc285186ec67efd68a62bcc8532921d370e, 2325, 161, 155, 1, 5, 161, 0, 0, 1.0, 16315, ss: 17 sss: 32 
0x86b939Ff9bb3cC5Cd9c7B57D298D6D20B4c7Bb56, 1427, 87, 87, 0, 0, 87, 0, 0, 1.0, 1926, ss: 17 sss: 32 
0x27e0f8a528ee9509e7e01d2d7e87ec4c33eda8c7, 1527, 107, 104, 0, 3, 107, 0, 0, 1.0, 4621, ss: 17 sss: 32 
0x93bcef3816fcc54086701730e58a5524093d3e83, 1516, 107, 104, 0, 3, 107, 0, 0, 1.0, 4574, ss: 17 sss: 32 
0x4d0c468424ac6fe96c0a45f5e01104edfeab89a2, 1202, 90, 88, 1, 1, 90, 0, 0, 1.0, 4158, ss: 17 sss: 32 
0xebcd1a41a587415e57f17181fcfbabd281883e6e, 1522, 107, 104, 0, 3, 107, 0, 0, 1.0, 3329, ss: 17 sss: 32 
0xcba45c98fa8706d7245aec9709a4fe61ba880a21, 1515, 108, 104, 0, 4, 108, 0, 0, 1.0, 3504, ss: 17 sss: 32 
0x1deabb12981c9b4000cd16c2c101d91e5f6f950b, 1752, 143, 117, 26, 0, 143, 0, 0, 1.0, 711, ss: 17 sss: 32 
0xef3923d674b4f99e7b10acf7790bced32a6e51f2, 1524, 108, 104, 0, 4, 108, 0, 0, 1.0, 3184, ss: 17 sss: 32 
