tool,bridge,vulnerability_type,file,contract,function,type,notes
xEVMLiSA,LiFinance20220320,access_control_incompleteness,DiamondCutFacet.sol,,"diamondCut((address,uint8,bytes4[])[],address,bytes)",TP,unchecked function arguments
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"approve(address,uint256)",TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"transfer(address,uint256)",TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"decreaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,burn(uint256),TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"transferFrom(address,address,uint256)",TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"initialize(uint256,address)",TP,unchecked `initAmount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRGV1.sol,,"increaseAllowance(address,uint256)",TP,unchecked `amount`
xEVMLiSA,MeterPassPort20220206,access_control_incompleteness,EMTRG.sol,,"initialize(uint256,address)",TP,unchecked `initAmount`
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV4CallProxy.sol,,"anyCall(address,bytes,address,uint256)",TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV4CallProxy.sol,,deposit(address),TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV4CallProxy.sol,,withdraw(uint256),TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"addWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"anyCall(address,bytes,address,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,deposit(address),TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"removeWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"retryExec(bytes32,address,uint256,uint256)",TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,tidyHistoryWhitelist(string),TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"updateAppConfig(address,address,uint256,address[])",TP,unchecked `_flags`
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy-AllowCallback.sol,,"upgradeApp(address,address)",FP,
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy.sol,,"addWhitelist(address,address[])",TP,unchecked `_whitelist`
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy.sol,,"anyCall(address,bytes,address,uint256,uint256)",TP,"unchecked `_to`, `_toChainID`, `_data`"
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy.sol,,deposit(address),TP,unchecked function arguments
xEVMLiSA,Multichain20220118,access_control_incompleteness,AnyswapV6CallProxy.sol,,"removeWhitelist(address,address[])",TP,unchecked `_whitelist`
