file,original pragma version,compiled version,notes
0xAfC58Bac1cb6D98A65692B5da17949929436cdE6.sol,0.7.6,0.7.6,
0x878dF90f8Dec5ce346E963642B54B0ED7d23d168.sol,0.7.6,0.7.6,
0x2a705327d093322bfAD691dD992bE1332A9fd47b.sol,0.8.3,0.8.3,
0x42A5Ed456650a09Dc10EBc6361A7480fDd61f27B.sol,0.8.3,0.8.3,
0x3624525075b88B24ecc29CE226b0CEc1fFcB6976.sol,0.8.10,0.8.10,
0xC145990E84155416144C532E31f89B840Ca8c2cE.sol,0.8.3,0.8.3,
0xB11a1735C2e3BCC5FC8c1d147fb64629d3d0caC5.sol,0.8.13,0.8.13,
0x0E18C19B05AfC0DFc86947e7e7beD9c1E7F15552.sol,0.7.6,0.7.6,
0xAa749190f7259cdd2a18cb0Ac42957dA4d8909e0.sol,0.7.6,0.7.6,
0xD37BbE5744D730a1d98d8DC97c42F0Ca46aD7146.sol,0.8.13,0.8.13,
0x3155BA85D5F96b2d030a4966AF206230e46849cb.sol,0.7.6,0.7.6,
0x7eFc09181CFeB60E59C4B5f17aaB3219521b8AC4.sol,0.7.6,0.7.6,
0xdC05D6941BD15DEA7072435eAa5B64Da379343D3.sol,0.8.10,0.8.10,
0xc284C7dd4dc9A981F4C0cd2C10DA5E91217C3126.sol,0.8.3,0.8.3,
0x65D6720d46275E4381784B032ab8A0ccd4f33b3B.sol,0.8.3,0.8.3,
