offset,opcode,detection
2388,2388: SLOAD,Store read after unsafe call
2496,2496: SLOAD,Store read after unsafe call
2526,2526: SLOAD,Store read after unsafe call
2547,2547: SLOAD,Store read after unsafe call
2573,2573: SLOAD,Store read after unsafe call
2594,2594: SLOAD,Store read after unsafe call
2618,2618: SLOAD,Store read after unsafe call
2642,2642: SLOAD,Store read after unsafe call
2680,2680: SLOAD,Store read after unsafe call
3069,3069: SLOAD,Store read after unsafe call
3310,3310: SLOAD,Store read after unsafe call
3324,3324: SSTORE,Store write after unsafe call
3337,3337: SLOAD,Store read after unsafe call
3414,3414: SLOAD,Store read after unsafe call
3472,3472: SLOAD,Store read after unsafe call
3498,3498: SLOAD,Store read after unsafe call
3523,3523: SLOAD,Store read after unsafe call
3546,3546: SLOAD,Store read after unsafe call
4251,4251: SLOAD,Store read after unsafe call
4810,4810: SLOAD,Store read after unsafe call
5063,5063: SLOAD,Store read after unsafe call
5074,5074: SSTORE,Store write after unsafe call
5257,5257: SLOAD,Store read after unsafe call
5321,5321: SSTORE,Store write after unsafe call
5531,5531: SLOAD,Store read after unsafe call
5624,5624: SSTORE,Store write after unsafe call
5851,5851: SLOAD,Store read after unsafe call
6024,6024: SLOAD,Store read after unsafe call
6043,6043: SLOAD,Store read after unsafe call
6101,6101: SLOAD,Store read after unsafe call
6127,6127: SLOAD,Store read after unsafe call
6199,6199: SLOAD,Store read after unsafe call
6236,6236: SLOAD,Store read after unsafe call
6266,6266: SLOAD,Store read after unsafe call
6305,6305: SLOAD,Store read after unsafe call
6377,6377: SLOAD,Store read after unsafe call
6414,6414: SLOAD,Store read after unsafe call
6444,6444: SLOAD,Store read after unsafe call
6504,6504: SSTORE,Store write after unsafe call
6988,6988: SLOAD,Store read after unsafe call
7002,7002: SSTORE,Store write after unsafe call
7015,7015: SLOAD,Store read after unsafe call
7092,7092: SLOAD,Store read after unsafe call
7118,7118: SLOAD,Store read after unsafe call
7176,7176: SLOAD,Store read after unsafe call
7202,7202: SLOAD,Store read after unsafe call
7227,7227: SLOAD,Store read after unsafe call
7250,7250: SLOAD,Store read after unsafe call
7644,7644: SLOAD,Store read after unsafe call
7790,7790: SLOAD,Store read after unsafe call
7915,7915: SLOAD,Store read after unsafe call
7942,7942: SSTORE,Store write after unsafe call
7956,7956: SLOAD,Store read after unsafe call
7983,7983: SSTORE,Store write after unsafe call
8055,8055: SLOAD,Store read after unsafe call
8092,8092: SSTORE,Store write after unsafe call
8345,8345: SLOAD,Store read after unsafe call
8625,8625: SLOAD,Store read after unsafe call
8941,8941: SLOAD,Store read after unsafe call
8944,8944: SSTORE,Store write after unsafe call
8989,8989: SLOAD,Store read after unsafe call
9042,9042: SSTORE,Store write after unsafe call
9079,9079: SLOAD,Store read after unsafe call
9082,9082: SSTORE,Store write after unsafe call
9120,9120: SSTORE,Store write after unsafe call
9156,9156: SLOAD,Store read after unsafe call
9159,9159: SSTORE,Store write after unsafe call
9252,9252: SLOAD,Store read after unsafe call
9255,9255: SSTORE,Store write after unsafe call
9420,9420: SLOAD,Store read after unsafe call
9447,9447: SSTORE,Store write after unsafe call
9484,9484: SSTORE,Store write after unsafe call
9503,9503: SLOAD,Store read after unsafe call
9560,9560: SSTORE,Store write after unsafe call
9573,9573: SSTORE,Store write after unsafe call
9595,9595: SSTORE,Store write after unsafe call
9675,9675: SLOAD,Store read after unsafe call
9732,9732: SSTORE,Store write after unsafe call
9745,9745: SSTORE,Store write after unsafe call
9767,9767: SSTORE,Store write after unsafe call
9847,9847: SLOAD,Store read after unsafe call
9868,9868: SSTORE,Store write after unsafe call
9919,9919: SLOAD,Store read after unsafe call
9940,9940: SSTORE,Store write after unsafe call
12537,12537: SLOAD,Store read after unsafe call
12638,12638: SLOAD,Store read after unsafe call
12896,12896: SLOAD,Store read after unsafe call
12997,12997: SLOAD,Store read after unsafe call
