file,original pragma version,compiled version,notes
TimeHelpers_16.sol,^0.4.24,0.4.24,
FraxPool_3.sol,0.6.11,0.6.11,
VToken_17.sol,^0.5.16,0.5.16,
LuckyToken_2.sol,0.8.7,0.8.7,
controller-v3_4.sol,^0.6.7,0.6.7,
KyberWrapperV3_1.sol,^0.7.0,0.7.0,
FraxPool_135.sol,0.6.11,0.6.11,
FraxPool_121.sol,0.6.11,0.6.11,
FraxPool_109.sol,0.6.11,0.6.11,
CommunityVault_2.sol,0.6.8,0.6.8,
Units_55.sol,^0.8.0,0.8.0,
PlasmaFramework_7.sol,0.5.11,0.5.11,
FraxPool_39.sol,0.6.11,0.6.11,
UniswapV3Pool_14.sol,>=0.5.0,0.5.0,
Units_41.sol,^0.8.0,0.8.0,
Units_69.sol,^0.8.0,0.8.0,
DFStore_1.sol,^0.5.2,0.5.2,
FraxPool_11.sol,0.6.11,0.6.11,
Units_96.sol,^0.8.0,0.8.0,
TimeHelpers_3.sol,^0.4.24,0.4.24,
LUSDToken_2.sol,0.6.11,0.6.11,
Units_82.sol,^0.8.0,0.8.0,
IUniswapV2Router01_1.sol,^0.6.6,0.6.6,
VEReward_1.sol,0.8.11,0.8.11,
ChainlinkAdapter_5.sol,^0.5.2,0.5.2,
PlasmaFramework_17.sol,0.5.11,0.5.11,
AddressResolver_48.sol,^0.5.16,0.5.16,
AddressResolver_49.sol,^0.5.16,0.5.16,
PlasmaFramework_16.sol,0.5.11,0.5.11,
OwnerManager_1.sol,^0.5.0,0.5.0,
ChainlinkAdapter_4.sol,^0.5.2,0.5.2,
Moloch_1.sol,^0.5.2,0.5.2,
Units_83.sol,^0.8.0,0.8.0,
LUSDToken_3.sol,0.6.11,0.6.11,
Units_97.sol,^0.8.0,0.8.0,
TimeHelpers_2.sol,^0.4.24,0.4.24,
FraxPool_10.sol,0.6.11,0.6.11,
Units_68.sol,^0.8.0,0.8.0,
LuckyToken_10.sol,0.8.7,0.8.7,
Units_40.sol,^0.8.0,0.8.0,
UniswapV3Pool_15.sol,>=0.5.0,0.5.0,
FraxPool_38.sol,0.6.11,0.6.11,
