offset,opcode,detection
2911,2911: SLOAD,Store read after unsafe call
2918,2918: SSTORE,Store write after unsafe call
3397,3397: SLOAD,Store read after unsafe call
3404,3404: SSTORE,Store write after unsafe call
3502,3502: SLOAD,Store read after unsafe call
3509,3509: SSTORE,Store write after unsafe call
4862,4862: SLOAD,Store read after unsafe call
4869,4869: SSTORE,Store write after unsafe call
6770,6770: SLOAD,Store read after unsafe call
6816,6816: SLOAD,Store read after unsafe call
6899,6899: SSTORE,Store write after unsafe call
7373,7373: SLOAD,Store read after unsafe call
7476,7476: SSTORE,Store write after unsafe call
7542,7542: SLOAD,Store read after unsafe call
7588,7588: SLOAD,Store read after unsafe call
7671,7671: SSTORE,Store write after unsafe call
7764,7764: SLOAD,Store read after unsafe call
7863,7863: SSTORE,Store write after unsafe call
9077,9077: SLOAD,Store read after unsafe call
9234,9234: SSTORE,Store write after unsafe call
9761,9761: SLOAD,Store read after unsafe call
9902,9902: SSTORE,Store write after unsafe call
10048,10048: SLOAD,Store read after unsafe call
10189,10189: SSTORE,Store write after unsafe call
10335,10335: SLOAD,Store read after unsafe call
10476,10476: SSTORE,Store write after unsafe call
10740,10740: SLOAD,Store read after unsafe call
10747,10747: SSTORE,Store write after unsafe call
11260,11260: SLOAD,Store read after unsafe call
11417,11417: SSTORE,Store write after unsafe call
11888,11888: SLOAD,Store read after unsafe call
11902,11902: SSTORE,Store write after unsafe call
12047,12047: SLOAD,Store read after unsafe call
12188,12188: SSTORE,Store write after unsafe call
12780,12780: SLOAD,Store read after unsafe call
12787,12787: SSTORE,Store write after unsafe call
13261,13261: SLOAD,Store read after unsafe call
13414,13414: SSTORE,Store write after unsafe call
13579,13579: SLOAD,Store read after unsafe call
13593,13593: SSTORE,Store write after unsafe call
13857,13857: SLOAD,Store read after unsafe call
13864,13864: SSTORE,Store write after unsafe call
13931,13931: SLOAD,Store read after unsafe call
14031,14031: SLOAD,Store read after unsafe call
14114,14114: SSTORE,Store write after unsafe call
14207,14207: SLOAD,Store read after unsafe call
14364,14364: SSTORE,Store write after unsafe call
15237,15237: SLOAD,Store read after unsafe call
15251,15251: SSTORE,Store write after unsafe call
15698,15698: SLOAD,Store read after unsafe call
15744,15744: SLOAD,Store read after unsafe call
15827,15827: SSTORE,Store write after unsafe call
15918,15918: SLOAD,Store read after unsafe call
16070,16070: SSTORE,Store write after unsafe call
17160,17160: SLOAD,Store read after unsafe call
17174,17174: SSTORE,Store write after unsafe call
17240,17240: SLOAD,Store read after unsafe call
17286,17286: SLOAD,Store read after unsafe call
17369,17369: SSTORE,Store write after unsafe call
17467,17467: SLOAD,Store read after unsafe call
17474,17474: SSTORE,Store write after unsafe call
