offset,opcode,detection
3861,3861: SSTORE,Store write after unsafe call
4637,4637: SLOAD,Store read after unsafe call
4692,4692: SLOAD,Store read after unsafe call
4843,4843: SSTORE,Store write after unsafe call
5303,5303: SLOAD,Store read after unsafe call
5454,5454: SSTORE,Store write after unsafe call
5746,5746: SLOAD,Store read after unsafe call
6021,6021: SLOAD,Store read after unsafe call
6082,6082: SLOAD,Store read after unsafe call
6135,6135: SSTORE,Store write after unsafe call
6179,6179: SSTORE,Store write after unsafe call
6223,6223: SSTORE,Store write after unsafe call
6267,6267: SSTORE,Store write after unsafe call
6311,6311: SSTORE,Store write after unsafe call
6355,6355: SSTORE,Store write after unsafe call
6399,6399: SSTORE,Store write after unsafe call
6448,6448: SLOAD,Store read after unsafe call
6501,6501: SSTORE,Store write after unsafe call
6665,6665: SLOAD,Store read after unsafe call
6840,6840: SSTORE,Store write after unsafe call
6912,6912: SSTORE,Store write after unsafe call
6943,6943: SLOAD,Store read after unsafe call
7015,7015: SLOAD,Store read after unsafe call
7123,7123: SLOAD,Store read after unsafe call
7203,7203: SLOAD,Store read after unsafe call
7242,7242: SSTORE,Store write after unsafe call
7304,7304: SLOAD,Store read after unsafe call
7360,7360: SSTORE,Store write after unsafe call
7641,7641: SLOAD,Store read after unsafe call
7800,7800: SLOAD,Store read after unsafe call
7890,7890: SSTORE,Store write after unsafe call
7947,7947: SLOAD,Store read after unsafe call
8016,8016: SLOAD,Store read after unsafe call
8055,8055: SSTORE,Store write after unsafe call
8102,8102: SLOAD,Store read after unsafe call
8145,8145: SLOAD,Store read after unsafe call
8231,8231: SLOAD,Store read after unsafe call
8287,8287: SSTORE,Store write after unsafe call
8393,8393: SLOAD,Store read after unsafe call
8613,8613: SLOAD,Store read after unsafe call
8657,8657: SLOAD,Store read after unsafe call
8789,8789: SLOAD,Store read after unsafe call
8879,8879: SSTORE,Store write after unsafe call
8931,8931: SLOAD,Store read after unsafe call
9097,9097: SLOAD,Store read after unsafe call
9141,9141: SLOAD,Store read after unsafe call
9309,9309: SSTORE,Store write after unsafe call
9340,9340: SLOAD,Store read after unsafe call
9506,9506: SLOAD,Store read after unsafe call
9529,9529: SLOAD,Store read after unsafe call
9697,9697: SSTORE,Store write after unsafe call
9789,9789: SLOAD,Store read after unsafe call
10009,10009: SLOAD,Store read after unsafe call
10053,10053: SLOAD,Store read after unsafe call
10185,10185: SLOAD,Store read after unsafe call
10275,10275: SSTORE,Store write after unsafe call
10306,10306: SLOAD,Store read after unsafe call
10526,10526: SLOAD,Store read after unsafe call
10549,10549: SLOAD,Store read after unsafe call
10681,10681: SLOAD,Store read after unsafe call
10771,10771: SSTORE,Store write after unsafe call
11098,11098: SLOAD,Store read after unsafe call
11274,11274: SLOAD,Store read after unsafe call
11364,11364: SSTORE,Store write after unsafe call
11433,11433: SLOAD,Store read after unsafe call
11599,11599: SLOAD,Store read after unsafe call
11660,11660: SLOAD,Store read after unsafe call
11828,11828: SSTORE,Store write after unsafe call
11859,11859: SLOAD,Store read after unsafe call
12025,12025: SLOAD,Store read after unsafe call
12048,12048: SLOAD,Store read after unsafe call
12216,12216: SSTORE,Store write after unsafe call
12528,12528: SLOAD,Store read after unsafe call
12704,12704: SLOAD,Store read after unsafe call
12794,12794: SSTORE,Store write after unsafe call
13028,13028: SLOAD,Store read after unsafe call
13166,13166: SLOAD,Store read after unsafe call
13256,13256: SSTORE,Store write after unsafe call
13300,13300: SLOAD,Store read after unsafe call
13350,13350: SSTORE,Store write after unsafe call
13377,13377: SLOAD,Store read after unsafe call
13410,13410: SSTORE,Store write after unsafe call
13475,13475: SLOAD,Store read after unsafe call
13489,13489: SSTORE,Store write after unsafe call
14180,14180: SLOAD,Store read after unsafe call
14321,14321: SSTORE,Store write after unsafe call
14547,14547: SLOAD,Store read after unsafe call
14570,14570: SLOAD,Store read after unsafe call
14721,14721: SSTORE,Store write after unsafe call
15508,15508: SLOAD,Store read after unsafe call
15649,15649: SSTORE,Store write after unsafe call
15875,15875: SLOAD,Store read after unsafe call
15898,15898: SLOAD,Store read after unsafe call
16049,16049: SSTORE,Store write after unsafe call
17390,17390: SSTORE,Store write after unsafe call
19028,19028: SLOAD,Store read after unsafe call
19059,19059: SLOAD,Store read after unsafe call
19324,19324: SLOAD,Store read after unsafe call
19483,19483: SLOAD,Store read after unsafe call
19573,19573: SSTORE,Store write after unsafe call
19838,19838: SLOAD,Store read after unsafe call
19997,19997: SLOAD,Store read after unsafe call
20087,20087: SSTORE,Store write after unsafe call
20115,20115: SSTORE,Store write after unsafe call
