Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x1ca02e3862da25648ef85191414773b71176a82b, 1517, 108, 106, 2, 0, 108, 0, 0, 1.0, 63795, ss: 128 sss: 32 
0xd3c474b0012fffc87d9ea1ab56fbe260ce240bad, 1520, 107, 106, 1, 0, 107, 0, 0, 1.0, 63907, ss: 128 sss: 32 
0x1ec364CDD9697F56B8CB17a745B98C2b862CBE29, 2155, 146, 142, 4, 0, 146, 0, 0, 1.0, 33732, ss: 128 sss: 32 
0x38c48c3d8d88c17281462e39192615cdc25fe630, 250, 18, 18, 0, 0, 18, 0, 0, 1.0, 1645, ss: 128 sss: 32 
0xa09a3e90da9574a43d35b893277ed6b3df79e88f, 2038, 151, 150, 1, 0, 151, 0, 0, 1.0, 74756, ss: 128 sss: 32 
0x149fd5d3db341277b7d1821b744996bf0077e5ed, 2444, 179, 178, 1, 0, 179, 0, 0, 1.0, 79127, ss: 128 sss: 32 
0xa1b0f267cf5eab73eefdcaf1c52704772f99a37f, 1023, 84, 81, 3, 0, 84, 0, 0, 1.0, 38715, ss: 128 sss: 32 
0xF9D2ec4b9b44B141097489CBf00C59c974c49238, 2204, 163, 159, 4, 0, 163, 0, 0, 1.0, 170986, ss: 128 sss: 32 
0x8012d769c438f106604c64d16e6287af9323deab, 1580, 108, 108, 0, 0, 108, 0, 0, 1.0, 60192, ss: 128 sss: 32 
0x1a374e8e1fd02a1ce0fb9bc4f58cde7bbab41ebe, 2428, 226, 215, 11, 0, 226, 0, 0, 1.0, 111965, ss: 128 sss: 32 
0x2aecf16ea4b4036123f43da94cf4e3e4d0a2a293, 1823, 90, 89, 1, 0, 90, 0, 0, 1.0, 4967, ss: 128 sss: 32 
0xF87D45488590EB00aaA052f96a253a505c4fC08C, 1982, 157, 150, 7, 0, 157, 0, 0, 1.0, 30291, ss: 128 sss: 32 
0x46Fa005E07e51732778A3745145B0D29AD5d7167, 1937, 100, 87, 13, 0, 100, 0, 0, 1.0, 914, ss: 128 sss: 32 
0xc1024ef7448186d4792d7dec5497fe8d4241687c, 2017, 166, 156, 10, 0, 166, 0, 1, 1.0, 9408, ss: 128 sss: 32 
0x9C1E6d460426a5e5355B337F67B5e4ffE916765E, 2392, 211, 208, 3, 0, 211, 0, 0, 1.0, 60797, ss: 128 sss: 32 
0x6d4fe830363c6af29147422fae4bc38e89b90af7, 1366, 96, 95, 1, 0, 96, 0, 0, 1.0, 34442, ss: 128 sss: 32 
0x817f844137e9f95da69299dfc2fb99ba9dbf5223, 1381, 99, 98, 1, 0, 99, 0, 0, 1.0, 42793, ss: 128 sss: 32 
0x07bf306aade228919b123d799c075d2ba627ad79, 1840, 133, 132, 1, 0, 133, 0, 0, 1.0, 37838, ss: 128 sss: 32 
0xed881fdc86fd928c48f199ac0d4f95e104011611, 2044, 190, 189, 1, 0, 190, 0, 0, 1.0, 172632, ss: 128 sss: 32 
0x024084d60a5fE572620aE9CE3178471F8fEEFfD2, 2513, 251, 248, 3, 0, 251, 0, 0, 1.0, 139927, ss: 128 sss: 32 
0x527cceba71b243f9c44f87ec0f236273313b285d, 1517, 108, 106, 2, 0, 108, 0, 0, 1.0, 41943, ss: 128 sss: 32 
0x2Ece2318109E56459Cba4788695B349ACCDA5841, 2931, 273, 256, 17, 0, 273, 0, 0, 1.0, 139812, ss: 128 sss: 32 
0xa57019c911cf94ed52baba1a943876eebc659499, 1512, 107, 106, 1, 0, 107, 0, 0, 1.0, 68568, ss: 128 sss: 32 
0xa54d90d8132edef66599196fbc4f1b95702508bf, 536, 40, 40, 0, 0, 40, 0, 0, 1.0, 308, ss: 128 sss: 32 
0xe22c1226d88672595aec3d476053140465638228, 1586, 107, 106, 1, 0, 107, 0, 0, 1.0, 41986, ss: 128 sss: 32 
0x6e42d3ed56413e5737129be488884d8e6b81ba2d, 1499, 116, 115, 1, 0, 116, 0, 0, 1.0, 23956, ss: 128 sss: 32 
0x1132490e28b2a398ed79e2e57238ea91957e1da7, 1596, 108, 106, 2, 0, 108, 0, 0, 1.0, 40306, ss: 128 sss: 32 
0x9199235ef044527f1eff1e4d9ba5c16243c9dfb9, 1511, 107, 106, 1, 0, 107, 0, 0, 1.0, 69757, ss: 128 sss: 32 
0xec64111A09AB3FD98dE13A6DB322ebff95D3414D, 2960, 213, 207, 6, 0, 213, 0, 0, 1.0, 62649, ss: 128 sss: 32 
0x6556f0936ac7a6a72a626614aac5444f4fc63037, 2300, 159, 155, 4, 0, 159, 0, 0, 1.0, 115461, ss: 128 sss: 32 
0x411eB08eD51086C23e7842C25B5006b598dC7D48, 2389, 229, 220, 9, 0, 229, 0, 0, 1.0, 113797, ss: 128 sss: 32 
0xdc597a5fd1f90d2b529c7862f3eab5cbad2c6ce2, 207, 22, 22, 0, 0, 22, 0, 0, 1.0, 252, ss: 128 sss: 32 
0xf689818d07ac53488ced7fca5a79e1456a7d4695, 1056, 75, 75, 0, 0, 75, 0, 0, 1.0, 34429, ss: 128 sss: 32 
