Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0xe7ffa77b74cfb68b7aa45ac94f9b1baacbce850c, 1236, 87, 87, 0, 0, 87, 0, 0, 1.0, 19154, ss: 64 sss: 32 
0xf50e161958c16f450cfc62549cb8ca44c3fb4291, 1588, 108, 108, 0, 0, 108, 0, 0, 1.0, 49165, ss: 64 sss: 32 
0x3e2b03a8990b229d33bbaa148821293eb6e10738, 245, 29, 26, 3, 0, 29, 0, 0, 1.0, 1801, ss: 64 sss: 32 
0x3db3b827b303e401b98ec2e5e9eecad064d72cab, 423, 25, 23, 2, 0, 25, 0, 0, 1.0, 1802, ss: 64 sss: 32 
0x6617f50bd993f86045cfdf99e579bf9d7225125f, 1488, 103, 103, 0, 0, 103, 0, 0, 1.0, 60161, ss: 64 sss: 32 
0x16da19dbbff11467abc3f4a2e705d7cb77643526, 1772, 137, 125, 12, 0, 137, 0, 1, 1.0, 4527, ss: 64 sss: 32 
0x66619dfca339c43b22e8aa429e5c477e6fd65ab1, 2793, 223, 219, 4, 0, 223, 0, 0, 1.0, 34516, ss: 64 sss: 32 
0x3fac10e640b8d3e9c2839f66b2ee3f26372f8b78, 1806, 140, 134, 6, 0, 140, 0, 0, 1.0, 16659, ss: 64 sss: 32 
0xd3fd7978e7786179f5b0386d60119097701ff42d, 1040, 108, 107, 1, 0, 108, 0, 0, 1.0, 15028, ss: 64 sss: 32 
0xF1dDE04c3fb8f21523C9aF006e1094A476AC366A, 2296, 174, 162, 12, 0, 174, 0, 0, 1.0, 25919, ss: 64 sss: 32 
0x0ed0881280ca6141974c9604b75d994c6fd92ef8, 1273, 98, 98, 0, 0, 98, 0, 0, 1.0, 24296, ss: 64 sss: 32 
0x86b939Ff9bb3cC5Cd9c7B57D298D6D20B4c7Bb56, 1427, 87, 87, 0, 0, 87, 0, 0, 1.0, 1293, ss: 64 sss: 32 
0x3280037f01757b73d0612cb4792d840f01fdac09, 2465, 171, 163, 8, 0, 171, 0, 0, 1.0, 33385, ss: 64 sss: 32 
0x2c2739034a3F8f229029aFEC0FA62345753e69BB, 1711, 135, 135, 0, 0, 135, 0, 0, 1.0, 30054, ss: 64 sss: 32 
0x836beed5235b794fa38e86a9ad1680035f607b12, 2802, 252, 237, 15, 0, 252, 0, 0, 1.0, 20897, ss: 64 sss: 32 
0xbE360D6D56F3504a7C2971a03BA34a3c6d67594F, 2190, 118, 114, 4, 0, 118, 0, 0, 1.0, 7267, ss: 64 sss: 32 
0xaee45d771e173506456e20fbdec12de9afdd593f, 1609, 110, 109, 1, 0, 110, 0, 0, 1.0, 30974, ss: 64 sss: 32 
0xc596947037572f1b514931a1fcec6909c6e909ff, 2036, 164, 158, 6, 0, 164, 0, 0, 1.0, 17630, ss: 64 sss: 32 
0x3053dc675b09530b815072e7940ecb5fd19bc8a6, 1396, 110, 110, 0, 0, 110, 0, 0, 1.0, 11825, ss: 64 sss: 32 
0x03ecf73968d146a24e51c2ac5f79389ad5801e64, 1506, 110, 110, 0, 0, 110, 0, 0, 1.0, 33948, ss: 64 sss: 32 
0x1e4d2b778138eb89def080071c427ba0f203b0ac, 1014, 84, 81, 3, 0, 84, 0, 0, 1.0, 20117, ss: 64 sss: 32 
0x4417265c6a4f2b041e5ccd2c9dfb30c819ea4df4, 1603, 109, 109, 0, 0, 109, 0, 0, 1.0, 26088, ss: 64 sss: 32 
0xd74bd64629e4d8bf72cc3ea26fa42a7b1bcbaddf, 1584, 107, 106, 1, 0, 107, 0, 0, 1.0, 14128, ss: 64 sss: 32 
0x9456e90877d59ac294d60217bd38d271cbfc0356, 1587, 110, 110, 0, 0, 110, 0, 0, 1.0, 18736, ss: 64 sss: 32 
0xA651332Bf73905c326bdA4549A59c05Aa3bF7DA0, 980, 71, 69, 2, 0, 71, 0, 0, 1.0, 93752, ss: 64 sss: 32 
0xe8073e400e17186efd2911afa2310071c81f3d77, 2478, 170, 163, 7, 0, 170, 0, 0, 1.0, 34125, ss: 64 sss: 32 
0x6fe62ff9140055fc8a8b5adfa302dbfdb4876858, 1605, 110, 109, 1, 0, 110, 0, 0, 1.0, 18286, ss: 64 sss: 32 
0x4074e0c6bd91d27fe48dbec3719a5cd7930505a9, 1605, 110, 109, 1, 0, 110, 0, 0, 1.0, 30568, ss: 64 sss: 32 
0x1a0205cd3fa5b3d8a11444a14b6c0fc993c2dc14, 1578, 108, 108, 0, 0, 108, 0, 0, 1.0, 40427, ss: 64 sss: 32 
0x90e25a72500afd34b5c88e8b4a9976ad8be92d14, 1584, 108, 108, 0, 0, 108, 0, 0, 1.0, 21905, ss: 64 sss: 32 
0x96f297c5c2fb481889c0b0f5f4adec61911236c4, 2037, 151, 150, 1, 0, 151, 0, 0, 1.0, 30487, ss: 64 sss: 32 
0x901184c47defff50663ea102f9790315a5317adb, 1896, 147, 147, 0, 0, 147, 0, 0, 1.0, 14920, ss: 64 sss: 32 
0x0002fa5b2e2dcc7ed5f4b26d5cea14e44d187e03, 1815, 94, 89, 5, 0, 94, 0, 0, 1.0, 6110, ss: 64 sss: 32 
0x60f19fd1f15fc08a1ea27d407dae25c4e7937547, 641, 53, 53, 0, 0, 53, 0, 0, 1.0, 550, ss: 64 sss: 32 
0x25E54Bf48369b8FB25bB79d3a3Ff7F3BA448E382, 2361, 125, 118, 7, 0, 125, 0, 0, 1.0, 4083, ss: 64 sss: 32 
0x15d9d21936fa6b0a494556db58eb93e2edd267f0, 1220, 87, 87, 0, 0, 87, 0, 0, 1.0, 6193, ss: 64 sss: 32 
0x3c862c59fa230df83b87f1ae742f2a6559f59fb0, 1587, 108, 108, 0, 0, 108, 0, 0, 1.0, 21409, ss: 64 sss: 32 
0xaa89568540a083776292ae5d1f838cf28c798f5e, 1486, 103, 103, 0, 0, 103, 0, 0, 1.0, 48521, ss: 64 sss: 32 
0xa8ed3d016b308ab48ecee135222b9105e7661e92, 1613, 110, 109, 1, 0, 110, 0, 0, 1.0, 17491, ss: 64 sss: 32 
0xa6c9976893eacb13688c16689ea183ce29004855, 1261, 92, 92, 0, 0, 92, 0, 0, 1.0, 74247, ss: 64 sss: 32 
0x16eA5Db6A7C2A72749a7f7600CAA64c97468D50E, 783, 51, 48, 3, 0, 51, 0, 0, 1.0, 1940, ss: 64 sss: 32 
0x5de11cbc26705AA30853526F809EC18dBe55aD5b, 1237, 92, 92, 0, 0, 92, 0, 0, 1.0, 17050, ss: 64 sss: 32 
0x3446d9a92b0d1d8db12507e850c158828fae4d95, 720, 61, 61, 0, 0, 61, 0, 0, 1.0, 1393, ss: 64 sss: 32 
0x98ce663e6ccbe12fdc2397b2a8d1ed0352476f78, 608, 48, 48, 0, 0, 48, 0, 0, 1.0, 675, ss: 64 sss: 32 
0x5ead618e4b55e34310908b647063b70416eac761, 998, 62, 62, 0, 0, 62, 0, 0, 1.0, 9628, ss: 64 sss: 32 
0x1855445a92453eDbdaE8072d123645698Ac9D2fF, 1901, 150, 146, 4, 0, 150, 0, 0, 1.0, 11725, ss: 64 sss: 32 
0x5371416b6cbee8710e2832728b31ce743856b30b, 1584, 107, 106, 1, 0, 107, 0, 0, 1.0, 30264, ss: 64 sss: 32 
0xd523578e864b1e7741309e21cb29674a4f634807, 1221, 109, 109, 0, 0, 109, 0, 0, 1.0, 30696, ss: 64 sss: 32 
0x0000000000008dd2574908774527FD6DA397d75B, 525, 39, 38, 1, 0, 39, 0, 0, 1.0, 199, ss: 64 sss: 32 
0x3ea06c27b0e18f4cb977eea6ad0b0b3a1d3e8577, 1390, 110, 110, 0, 0, 110, 0, 0, 1.0, 19485, ss: 64 sss: 32 
0xea15fe16d39316130ad93ac0515f2432e8be3648, 1517, 127, 127, 0, 0, 127, 0, 0, 1.0, 19162, ss: 64 sss: 32 
0xced519a9e7555dee0399f8da3019d8d557a88f81, 1564, 103, 103, 0, 0, 103, 0, 0, 1.0, 29492, ss: 64 sss: 32 
0x8F18602AF63138fB598772410BFB2514746f61E0, 1641, 139, 138, 1, 0, 139, 0, 0, 1.0, 9459, ss: 64 sss: 32 
0x5eC34376205E99f5314cD71436AFDA100f3A4Bb6, 1072, 43, 43, 0, 0, 43, 0, 0, 1.0, 1126, ss: 64 sss: 32 
0x7576917e8ecaff11d64bcb30cd407f2f1cef2b64, 2836, 197, 189, 8, 0, 197, 0, 0, 1.0, 20197, ss: 64 sss: 32 
0x679a55c36155a6cbf86eac22e75e33fb704e2d6e, 544, 40, 40, 0, 0, 40, 0, 0, 1.0, 311, ss: 64 sss: 32 
0x81ef2af332cf422cf51aea1e1a284c01e7f10336, 1505, 110, 110, 0, 0, 110, 0, 0, 1.0, 37414, ss: 64 sss: 32 
0x3c9F53a0aef44A20A18f341E45a698Ba36f102A4, 2323, 187, 187, 0, 0, 187, 0, 0, 1.0, 26655, ss: 64 sss: 32 
0xd15314257404ae4b32b70f39a883db52e57e40c8, 1907, 147, 147, 0, 0, 147, 0, 0, 1.0, 32963, ss: 64 sss: 32 
0x9531695Be421C2A3B11D4eC926edF813498021fE, 2863, 220, 204, 16, 0, 220, 0, 0, 1.0, 36330, ss: 64 sss: 32 
0xD99E8bA5259Dd2b8B9aBFE0eD78913ec60B8F898, 1080, 83, 81, 2, 0, 83, 0, 0, 1.0, 4202, ss: 64 sss: 32 
0xa801a49a37a09b2022b5d1f2222421a2f2d5656d, 1514, 110, 110, 0, 0, 110, 0, 0, 1.0, 18395, ss: 64 sss: 32 
0x6ca8937103a6a73025a9be86d4af90dabc019f0f, 1559, 103, 103, 0, 0, 103, 0, 0, 1.0, 16689, ss: 64 sss: 32 
0x641d512a5a3be7f07ede4bb66fcc3546b5c24622, 1005, 84, 81, 3, 0, 84, 0, 0, 1.0, 15803, ss: 64 sss: 32 
0x5d207dbd80b978b138331519383b27caa1e04999, 253, 18, 18, 0, 0, 18, 0, 0, 1.0, 41, ss: 64 sss: 32 
0xE67404C6E4f6Ab58ac1F92E6056379CD2F4AAc6A, 2049, 146, 145, 1, 0, 146, 0, 0, 1.0, 36300, ss: 64 sss: 32 
0xa944c2e3b8356a26cd788ed4e2655720261e02cb, 153, 9, 9, 0, 0, 9, 0, 0, 1.0, 1939, ss: 64 sss: 32 
0xC27EEc1c192500DaA517D491f673eD81008a8c0b, 2174, 170, 155, 15, 0, 170, 0, 1, 1.0, 12882, ss: 64 sss: 32 
0x63b0a86677df915812fdd3acff5ae7382f731d34, 2699, 193, 192, 1, 0, 193, 0, 0, 1.0, 29825, ss: 64 sss: 32 
0x0355950f91e36b1dcf42360b06486b4e0021351a, 1593, 108, 108, 0, 0, 108, 0, 0, 1.0, 37883, ss: 64 sss: 32 
0x726c8bf7c2bc8d6f76e484dbfc4dceddf3c35fae, 1586, 108, 108, 0, 0, 108, 0, 0, 1.0, 32715, ss: 64 sss: 32 
0xe743a92cf9ec592593055a6d4bf940c645db2e61, 1215, 92, 92, 0, 0, 92, 0, 0, 1.0, 21322, ss: 64 sss: 32 
0xb04862d030a38c351e8ecae09508cd30f80d88e3, 1820, 95, 89, 6, 0, 95, 0, 0, 1.0, 5808, ss: 64 sss: 32 
0x025382d4266cca4689055bb08b73202ce24e9b12, 1905, 147, 147, 0, 0, 147, 0, 0, 1.0, 31041, ss: 64 sss: 32 
