Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Time lost to get Storage, Actual time, Notes 
0x04efd93916490d95cbbc1e63484430af8db7fced, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 4098, 0, 4098, ss: 32 sss: 32 
0x456415994faa57ea23c94c91f932d6f9d4e4cd2d, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 6182, 0, 6182, ss: 32 sss: 32 
0x1a5b13ef713ba23f7bb17013d1c73797e1285f26, 2621, 191, 189, 1, 0, 190, 1, 0, 0.9947643979057592, 18739, 0, 18739, ss: 32 sss: 32 
0xe76a7cd241764ffd57e10b24619ac7d8e156c5df, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 6351, 0, 6351, ss: 32 sss: 32 
0xccddc53e04e6a46a4efb970acd2f1b79faf51187, 1592, 114, 108, 3, 2, 113, 1, 0, 0.9912280701754386, 2678, 0, 2678, ss: 32 sss: 32 
0x19239be618962288ebef875322d2c13a51cc6469, 2194, 210, 192, 1, 15, 208, 2, 0, 0.9904761904761905, 18381, 0, 18381, ss: 32 sss: 32 
0x5c9d8b9ef888ae4cd45a867b8cd61cd094d302f0, 1413, 101, 96, 1, 3, 100, 1, 0, 0.9900990099009901, 5388, 0, 5388, ss: 32 sss: 32 
0x334bf61aeb7bdd887364988609d1fc57b823ac51, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 5477, 0, 5477, ss: 32 sss: 32 
0x06395888477c823f54e727c20c8ec89d4a82fbf5, 1499, 115, 111, 2, 1, 114, 1, 0, 0.991304347826087, 9329, 0, 9329, ss: 32 sss: 32 
0x377b319c20e77f782bafc5200a5c8d1fdb4518b2, 2817, 245, 216, 1, 19, 236, 9, 0, 0.963265306122449, 24289, 0, 24289, ss: 32 sss: 32 
0x839bca4e29e0340fc9ca841bf07abb1603a9d929, 2861, 255, 234, 2, 13, 249, 6, 0, 0.9764705882352941, 13354, 0, 13354, ss: 32 sss: 32 
0x8bf19c12144421686a80a71e430c0c5db3705155, 1560, 110, 107, 2, 0, 109, 1, 0, 0.990909090909091, 3459, 0, 3459, ss: 32 sss: 32 
0xecd0a174eef8d2deb4dcf989d22c9b9119558d2d, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 3707, 0, 3707, ss: 32 sss: 32 
0x20616748570be36403dc83e3dc4cece4082f6453, 1555, 108, 105, 2, 0, 107, 1, 0, 0.9907407407407407, 9272, 0, 9272, ss: 32 sss: 32 
0xd5d882de64d5dcc1ae0c622c5489aa85b4ef67aa, 1555, 108, 103, 3, 1, 107, 1, 0, 0.9907407407407407, 3149, 0, 3149, ss: 32 sss: 32 
0x5fa684c01f839469ed0d945e4902493b55abcbad, 1993, 139, 136, 1, 1, 138, 1, 0, 0.9928057553956835, 6095, 0, 6095, ss: 32 sss: 32 
0x356f6ef0b33e14d7349f9e71c0975c2dfce077db, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 4223, 0, 4223, ss: 32 sss: 32 
0x31fea152f7d6a89543ea2e55f724311e3c09c036, 780, 52, 52, 0, 0, 52, 0, 0, 1.0, 68, 0, 68, ss: 32 sss: 32 
0xb68f32e1fa4f91019a07d12e29f5d8991bcc66af, 1916, 153, 136, 2, 12, 150, 3, 0, 0.9803921568627451, 10753, 0, 10753, ss: 32 sss: 32 
0x4b6737ba4faa7cece23b9fa0f50370a51ac7af16, 1555, 108, 105, 2, 0, 107, 1, 0, 0.9907407407407407, 11143, 0, 11143, ss: 32 sss: 32 
0x2a345e1c22318e3e07eb4c45614d175de40d68cc, 2742, 190, 172, 18, 0, 190, 0, 0, 1.0, 2355, 0, 2355, ss: 32 sss: 32 
0x334aA5996583722cC850344eC02fD99bc263C56d, 1900, 139, 127, 12, 0, 139, 0, 0, 1.0, 1720, 0, 1720, ss: 32 sss: 32 
0xc36318df21171dc43428f57ebff9f2e0b213bb8c, 1468, 103, 98, 1, 3, 102, 1, 0, 0.9902912621359223, 2871, 0, 2871, ss: 32 sss: 32 
0xb947ab3CA82511c16fC02b9Ee11fFfCFe99856Ea, 2936, 275, 238, 4, 27, 269, 6, 0, 0.9781818181818182, 21139, 0, 21139, ss: 32 sss: 32 
0x7306823FBb77b7faffb71267234cc5D8c7DcF259, 2915, 273, 236, 3, 28, 267, 6, 0, 0.978021978021978, 20574, 0, 20574, ss: 32 sss: 32 
0xe7dcb55aad6e71e01a040fe0ed11a22ad13194b8, 2276, 158, 149, 1, 7, 157, 1, 0, 0.9936708860759493, 3730, 0, 3730, ss: 32 sss: 32 
0x564D33cF8623D38Bd8D2D8a4AD152Bcd1BBb91Ae, 2838, 247, 222, 1, 15, 238, 9, 0, 0.9635627530364372, 23168, 0, 23168, ss: 32 sss: 32 
0x69192971A09737A24d292e37F7ecfD57B40a5451, 2440, 188, 185, 3, 0, 188, 0, 0, 1.0, 14179, 0, 14179, ss: 32 sss: 32 
0x77a2059e50e75c2e5a3d9444ec07c6d2358246b6, 2404, 226, 206, 3, 15, 224, 2, 0, 0.9911504424778761, 14481, 0, 14481, ss: 32 sss: 32 
0xe3efc8bacda7b19f5d51c5daab9af682b2a66744, 2435, 124, 104, 20, 0, 124, 0, 0, 1.0, 155, 0, 155, ss: 32 sss: 32 
0x03fb106265bdedef45589fa915e4a49f514c4593, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 3763, 0, 3763, ss: 32 sss: 32 
0xc57def71b0ba124bad5841718e36ebcca99a3d5b, 1496, 107, 102, 1, 3, 106, 1, 0, 0.9906542056074766, 3490, 0, 3490, ss: 32 sss: 32 
0xfe65b765c518b63c792b9b97335a6e7f0bfc960c, 2425, 219, 200, 2, 15, 217, 2, 0, 0.9908675799086758, 11743, 0, 11743, ss: 32 sss: 32 
